"ID","Usuario","Ubicacion","Contribuciones","Titulo","Fecha_Visita","Tipo_Visita","Fecha_Escrita","Sentimiento","Platos_Mencionados","Aspectos_Positivos","Aspectos_Negativos","Respuesta_Restaurante","Texto_Resena"
17,"IgnatiusRed","Madrid, España",11,"Descubriendo un tesoro","oct 2017","Negocios","2017-10-20","Positivo","Lentejas con sacramentos, arroz meloso con queso y setas, merluza, bacalao, carrilleras de ternera con vainilla, tarta de queso, cremoso de chocolate","Personal atento y eficiente, comida rápida y excelente, sabores y texturas excepcionales, buena música","Menú de 14.90€ ligeramente caro para la zona, no tienen cafetera, mesas altas incómodas, mapa engañoso","No","Fuimos a comer 4 personas del menú que tienen... El arroz fue un plato excelente... Las carrilleras, excelentes también... Los postres elegidos fueron tarta de queso y cremoso de chocolate... Personal atento, servicial, muy agradable, y muy eficiente..."
18,"AnitaWall","",259,"Sorpresa de las buenas","sept 2017","Parejas","2017-10-16","Positivo","Foie, tartar, ravioli, croquetas","Muy buenas elaboraciones, flexibilidad de raciones/tapas","Local muy pequeño, problemas de espacio en invierno","No","Fuimos a picar algo y estaba todo buenísimo. Tienen tapas frías y calientes, de mayor o menor tamaño, lo que te permite hacerte el menú al milímetro. Muy buenas elaboraciones y muy ricas las mezclas y sabores. Probamos el foie, el tartar, los ravioli, las croquetas...todo muy rico. El sitio es un poco pequeño..."
19,"Nacho_Sanchez","Pozuelo de Alarcón, España",1,"Sorpresa en Pozuelo","oct 2017","Parejas","2017-10-16","Positivo","Croquetas, kimuchi de mariscos, cigala salteada con migas","Personal agradable, buen asesoramiento en cantidades y platos, calidad superior","","No","El primer problema que tuvimos... es que queríamos pedir toda la carta... Nos aconsejaron perfectamente... Ojo con las croquetas, el kimuchi de mariscos, la cigala salteada con migas... Superior. El personal muy agradable."
20,"Juakifoto","",7,"Extraordinario","jul 2017","Amigos","2017-10-03","Positivo","Menú","Calidad de producto, excelente cocinado, sitio agradable","","No","Conocía La Roca, por haber estado previamente en el local de Miranda de Ebro. En ambos tuve la misma sensación de sitio agradable... pero sobre todo, de calidad de producto y excelente cocinado. Cambiaron el menú y seguía siendo tan bueno como el anterior."
21,"ppbescansa","Madrid, España",2,"Cena Amigos","sept 2017","Parejas","2017-09-29","Positivo","","Comida fantástica, buen servicio, precio adecuado en carta","","No","Fantastico!, nos ha encantado todo. La comida, el servicio y el precio no lo sé porque estamos terminando, pero segun carta está muy bien. Muy recomendable!"
22,"Iñigo C","Bruselas, Bélgica",1,"El mejor tapeo de la zona norte","sept 2017","Amigos","2017-09-29","Positivo","Raviolis","Alto nivel gastronómico, Óscar encargado de 10","","No","Sin competencia Los raviolis un must Oscar un encargado 10 Para repetir muchas veces Ya era hora este nivel en pozuelo"
23,"Félix P","",3,"Que bueno","sept 2017","Parejas","2017-09-27","Positivo","Tapas","Tapas espectaculares, servicio excelente, ambiente acogedor","Mesas altas","No","Tapas y platos espectaculares. Y mejor servicio. Mesas altas, pequeñito, como en casa. Elijas lo que elijas aciertas."
24,"Bergamoto","Madrid, España",36,"En caída libre ?????????","sept 2017","En familia","2017-09-26","Negativo","Sashimi de atún, hamburguesas","Servicio adecuado","Calidad en declive, atún incomible con nervios y retales, hamburguesas pasadas con pan aceitoso","No","Tercera visita en familia, la primera visita fue estupenda... la segunda a menos... y tercera visita este mismo sábado con un producto de mala calidad como el sashimi de atún fuera de carta... las hamburguesas excesivamente hechas y con el pan mal cortado lleno de aceite."
25,"franja01","",1,"Superando expectativas","sept 2017","Parejas","2017-09-24","Positivo","","Trato excelente, buenos consejos del personal, comida sorprendente","","No","Encantado con el lugar, trato excelente, nos dejamos guiar por los consejos del personal y la comida fué una gratisima sorpresa. Seguro que repetimos..."
26,"Anarell","",30,"Grata sorpresa","sept 2017","Parejas","2017-09-21","Positivo","Postres","Local moderno y chulo, comida buenísima de calidad, servicio muy bueno","","No","El local nos llamó la atención es muy chulo y moderno.. La comida buenísima, el servicio muy bueno , nos fuimos encantados Toda la comida es de muy buena calidad ,los postres diferentes"
27,"Antonio P","",15,"Mucha calidad y buen servicio","sept 2017","En familia","2017-09-20","Positivo","","Platos originales y de calidad, servicio atento y organizado, cocina rápida","","No","Platos originales y con calidad, el servicio muy atento y bien organizado, la cocina rapida y en su punto"
28,"Ana S","Madrid, España",8,"Maravilloso","dic 2017","En familia","2017-12-29","Positivo","Vinos, cerveza","Comida excepcional, servicio estupendo, precios razonables, opción take away","Mesas altas no muy cómodas","No","La comida excepcional a precios razonables y el servicio estupendo. Las mesas son altas y no muy cómodas pero merece la pena por lo bue o que está todo. Los vinos están todos ricos, al igual que la cerveza. Además puedes encargar comida para llevar."
29,"Zamu R","",5,"Recomendable","dic 2017","Amigos","2017-12-18","Positivo","Vinos, tapas","Buenos vinos, tapas excelentes, precio ajustado, buen ambiente","","No","Buenos vinos, tapas excelentes y ajustadas de precio, ambiente muy bueno. La verdad que me sorprendió, volveremos."
30,"Teito R","",4,"La mejor barra de Pozuelo","dic 2017","Amigos","2017-12-17","Positivo","Kimuchi, ravioli de toro, croquetas","Servicio espectacular, rapidez, buen asesoramiento","Suele estar muy lleno","No","Marca la diferencia, espectacular el servicio y cada plato sorprende. Por fin una barra de nivel en Pozuelo. La atención del personal espectacular, asesoran bien y son rápidos. El Kimuchi, Ravioli de Toro y las croquetas espectaculares. Eso si, suele estar lleno..."
31,"salinas19","",7,"Si duda lo mejor de pozuelo!!","dic 2017","En familia","2017-12-17","Positivo","Pitu caleya, tapas, vinos","Tapas innovadoras, trato excepcional y cercano, buena variedad de vinos","Local pequeño","No","Sin palabras me ha dejado este pequeño pero coqueto sitio en la av Europa.. Las tapas es lo mejor que nunca había visto y unas sugerencias como el pitu caleya realmente exquisitas.. buena variedad de vinos y un trato excepcional..."
32,"Jasmin","Madrid, España",3,"Impecable!","dic 2017","Parejas","2017-12-16","Positivo","Croquetas, tapas varias","Comida exquisita, camareros muy atentos","Se llena muy rápido","No","Simplemente estupendo. Empezamos por unas croquetas y acabamos pidiendo cuatro tapas más para probar. Los camareros muy pendientes siempre de nosotros. Todo estaba exquisito. No puedo ponerle ni un 'pero'. Eso sí, si podéis reservad, o id pronto..."
33,"321IsabelRosa","Madrid, España",4,"HORRIBLE","dic 2017","","2017-12-15","Negativo","Aperitivos","","Camareros insolentes y maleducados, carísimo, calidad dudosa, raciones escasas, mesas altas enanas y apretadas","Sí","Mesas altas y pequeñas, apretadísimas,no hay espacio, es un local enano, pero lo peor son los camareros, insolentes, maleducados, sin ninguna preparación, trato al cliente totalmente inadecuado, carísimo, de calidad dudosa, raciones muy escasas..."
34,"Antonio T","Málaga, España",56,"No te lo puedes perder !!!","dic 2017","Parejas","2017-12-12","Positivo","Sashimi de atún, migas con huevo y cigalitas, postre cromoterapia, vinos","Comida excelente, trato exquisito, buena carta de vinos, calidad-precio","Local pequeño","No","Un sitio pequeñito pero acogedor donde todo lo que pruebes roza la excelencia, una buena o buenísima carta de vinos y un trato muy exquisito, el precio es en relación calidad precio muy bueno, el sashami de atún de 10, las migas con huevo y cigalitas de 11 y para la cromoterapia me quedo sin número..."
35,"David B","Madrid, España",2,"Incómodo, maleducados y sucio.... penoso.","nov 2017","Amigos","2017-12-12","Negativo","","","Mesas altas y pequeñas, oscuro, falta de higiene en camarero, caro y calidad dudosa","No","Mesas altas y pequeñas, oscuro quizá para no ver las manos sucias del camarero que se metió 7 veces el dedo en la nariz (hicimos apuestas) caro y calidad dudosa. Tú mismo"
36,"raim82","Madrid, España",6,"Caro, agobiante y vulgar","dic 2017","","2017-12-10","Negativo","","","Caro, agobiante, sin espacio entre mesas, servicio mediocre, comida mediocre ('quiero y no puedo')","No","Sin sitio entre mesas con un servicio mediocre. Un quiero y no puedo en la comida. Teníamos muchas ganas de ir, y ahora sabemos q no volveremos"
37,"Montsemaes","Barcelona, España",130,"Comida muy buena","dic 2017","Amigos","2017-12-09","Positivo","Ravioli de rabo, kimuchi de mariscos, bombones de ternera, cromoterapia","Platillos elaborados y con calidad, postre diferente, cuidada decoración","","No","Nos recomendaron el sitio... salimos encantados. Nos dejamos aconsejar y picoteamos un poco, las tapas/platillos son elaborados, con productos de calidad... De postre elegimos el 'cromoterapia', lo mas distinto y muy bueno."
38,"Susana N","Madrid, España",50,"Un sabor distinto en Pozuelo","dic 2017","Parejas","2017-12-07","Positivo","Tapas","Comida rica y original, trato muy bueno, buena relación calidad-precio","Local muy pequeño, tapas de tamaño algo justo","No","Fui a comer con mi pareja porque nos habían hablado muy bien y la verdad es que nos gusto mucho. Comimos de tapas y aunque no son muy grandes puedes pedir varias y el precio no es excesivo. Buena calidad precio... lo peor es que es un local muy pequeño...."
39,"Iñaki P","Madrid, España",10,"Uno más con el que contar en Pozuelo","nov 2017","Parejas","2017-12-06","Positivo","Bombones de foie, alcachofas, chuleta, postre cromaterapia, vino, cerveza","Punto excelente de los platos, buena música, buena bebida","Ración de alcachofas corta","No","Lo descubrimos de pasada y fuimos a probar. Tomamos bombones de foie, las alcachofas, con un punto excelente..... un par de trozos mas hubiesen estado genial. La chuleta excelente. De postre cromaterapia sorprendente. Buen vino, buena cerveza, buena música."
40,"dgarciaconde","",20,"Comida excelente trato pesimo","nov 2017","Parejas","2017-11-26","Negativo","Solomillo","Platos en general excelentes","Solomillo pasado de punto, les pidieron cambiarse de mesa para juntar a otro grupo, precio elevado (30€/pax) para ese trato","No","Pedimos varios platos, la verdad es que todos excelentes menos el solomillo, que lo pedimos al punto y vino pasado. Después de casi haber terminado nos piden que si por favor nos movemos de mesa.... para dejar que puedan juntar dos mesas para otra gente..."
41,"Alejandro L.B","Madrid, España",21,"Caro pero bueno.","nov 2017","Amigos","2017-11-20","Mixto","Chuletón (500g), tapas variadas, vinos, cerveza","Comida buena y elaborada, buen servicio y bebida","Tapas muy pequeñas para su precio (4€), chuletón con más hueso que carne","No","El sitio está bien, es algo caro y la comida en general es buena. Ya he pasado varias veces, las tapas están elaboradas, pero muy pequeñas para los 4 euros de mediante cuesta cada una... El chuletón no es recomendable porque aunque de sabor está bien, más de la mitad es hueso."
42,"ermenendez","Pozuelo de Alarcón, España",15,"Excelente","nov 2017","En familia","2017-11-17","Positivo","Lentejas, trucha","Servicio excelente, elaboración de 10, rapidez, presentación y precio ajustado","Local pequeño","No","Fuimos a comer, el local es pequeño y acogedor, el servicio excelente y el menú muy bueno. Decidimos probar dos platos aparentemente normales: lentejas y trucha. Un 10 en elaboración, presentación, rápidez y precio ajustado."
43,"mariabusi","París, Francia",1,"NO VUELVO","mar 2018","Amigos","2018-03-03","Negativo","","","Mala relación precio-cantidad (43€ con hambre), mesas altas incómodas, trato grosero al apurarles la cuenta a los 40 min","Sí","Una decepción. La relación precio-calidad-cantidad es mala. Pero lo peor es el trato..... Hemos ido dos personas y nos ha parecido incomodo con esas mesas altas. Nos hemos gastado 43 euros Y NOS HEMOS IDO CON HAMBRE. Nada mas terminar el ultimo plato viene un camarero y nos dice que nos trae la cuenta..."
44,"Amparo M","",1,"Cocina elaborada","feb 2018","Amigos","2018-02-21","Positivo","Ravioli de ternera, berberechos, croquetas, arroz meloso, chipirones a la plancha, financier con helado de naranja","Tapas elaboradas, carta de vinos excepcional, cerveza bien tirada, servicio amable y atento","Local siempre a tope","No","Un buen sitio donde tomar algo los fines de semana. Las tapas elaboradas... La carta de vinos excepcional y la cerveza bien tirada. Recomiendo el ravioli de ternera... Me gustaría destacar el trato de todo el servicio. Muy amables y eso que siempre está a tope."
45,"leticiam809","Aranjuez, España",9,"Tapeo ideal","feb 2018","Parejas","2018-02-21","Positivo","Tapas frías y calientes, menú del día","Calidad y precio adecuado, gran profesionalidad del personal (Sara y Oscar)","","No","Es una restaurante con buena calidad y precio muy adecuado. Tiene una amplia carta de tapas frias y calientes así como menú del dia y platos un poco mas elaborados. Sara, la chica de barra, es muy buena profesional asi como Oscar que es muy agradable..."
46,"Marcelo I","Pozuelo de Alarcón, España",6,"Todo rico","feb 2018","En familia","2018-02-12","Positivo","","Amabilidad, rapidez, calidad constante","Tamaño reducido, a veces no hay mesa","No","Amabilidad , rapidez , calidad ... un sitio para repetir y recomendar . Nunca defraudan . Lástima que por el tamaño , a veces no hay mesa"
47,"Pilar M","",8,"LO MEJORCITO DE POZUELO","feb 2018","Amigos","2018-02-08","Positivo","Croquetas, ravioli, sardina, kimuchi, financier con helado de pistacho, cañas","Comida increíble, sugerencias ricas, servicio de 10 (Óscar y Sara), cocina acristalada a la vista","","No","Por fin un sitio en Pozuelo donde tomarse un buena caña en una barra con ambiente y con unas riquísimas croquetas!Todo está increíble,en especial:el ravioli,la sardina y el kimuchi... El servicio increíble,en especial el de Óscar y Sara..."
48,"felnan2009","Madrid, España",1,"RACION DE CALLOS A 5O€..","feb 2018","Parejas","2018-02-06","Negativo","Callos","","Trato borde y despectivo del encargado, tapa minúscula a más de 10€, falta de calefacción","No","... es la respuesta que me dió el encargado de las mesas cuando le pregunté cuanto costaría la ración si por una tapa (4 callos) me cobra más de 10€; podría haberme explicado la excepcionalidad de sus callos... pero sin embargo opto por semejante bordería... podían poner la calefacción por lo menos"
49,"Jorge","Aravaca, España",4,"Calidad=trato. Excelente.","ene 2018","En familia","2018-01-30","Positivo","Tapas","Cocina muy rápida y de buena calidad, personal atento y cercano","Mesas altas, local reducido","No","Un local de reducido tamaño, perfecto para tapear, exento de estar horas en el restaurante. Genial para ir con amigos y familia, mesas altas, una cocina muy rápida y de buenísima calidad. Personal muy atento y cercano."
50,"vdiazsag","",3,"Variedad y tamaño justo","ene 2018","Parejas","2018-01-28","Positivo","Raciones y tapas","Variedad de sabores, tamaño de ración óptimo para compartir y probar muchas cosas","","No","Merece la pena poder probar múltiples sabores y en su justa cantidad. Las raciones tienen la cantidad justa para poder comer muchas raciones incluso cuando somos dos personas."
51,"jueslopez1966","Madrid, España",9,"penoso","ene 2018","Amigos","2018-01-26","Negativo","","","No cumple expectativas de elaboración, falta de orden al servir mesas y comandas, mal ambiente interno jefe-empleados, precio excesivo","No","Parecia un lugar vanguardista para el tapeo en Pozuelo pero es un 'quiero y no llego'... Una decepcion tambien en el orden carente de toda disciplina a la hora de servir las mesas... Para remate esta el mal rollo con los empleados por parte de el que parece dirigir el negocio... precio demasiado alto."
52,"PF","Madrid, España",30,"Para comida rápida y tapear. Muy buen servicio y buenísima comida","ene 2018","Parejas","2018-01-21","Positivo","Ravioli de ternera, croquetas de jamón, steak tartar en conos de barquillo, huevo ecológico con setas, pulpo a la brasa, foie con manzana, torrija, tarta de queso","Buena comida, carta equilibrada, servicio y cocina excelentes, cocina a la vista sin olores","Mesas altas, algo ruidoso, no reservan mesa, pulpo algo caro","No","Me hablaron de este restaurante para tapear que abrió hace seis meses... Raciones acordes a los precios, para poder probar varias cosas... El servicio de los camareros, el encargado y los cocineros excelente. Se respira buen ambiente y trabajo en equipo. Es cierto que la rotación es muy alta..."
53,"GuillermoGAlm","Comunidad de Madrid, España",7,"Merece la pena para probar nuevos sabores","ene 2018","Amigos","2018-01-20","Positivo","Postres, tapas","Comida original y rica, simpatía y profesionalidad de los camareros atendiendo llenos","Local pequeño, corriente de frío al abrirse la puerta","No","Es verdad que no es un sitio muy grande y que cuando se abria la puerta , se notaba pero dicho esto la comida me parecio muy rica, original y diferente. A mi me merece la pena sobre todo , por la simpatia y profesionalidad de los camareros..."
54,"Amaya A","Madrid, España",7,"Sorprendente!","ene 2018","Parejas","2018-01-20","Positivo","Ravioli de rabo de toro, kimuchi de mariscos","Cocina original diferente a la oferta habitual, servicio de 10","","No","En Pozuelo estamos cansados de los mismos platos fáciles, ... me encanta porque es una cocina diferente. Súper recomendables el ravioli de rabo de toro y el Kimuchi de mariscos. El servicio un 10. Encantadores!"
55,"PiFloBor","Madrid",1,"Genial!!","ene 2018","Amigos","2018-01-19","Positivo","","Comida exquisita, concepto de cocina único en la zona, trato ameno y muy atento","","No","La comida exquisita. El concepto del restaurante y su cocina única por la zona. El trato recibido por el personal muy ameno y muy atentos en todo momento. Sin duda volveremos!!!"
56,"Itziar T","Pozuelo de Alarcón, España",2,"De tapas.","dic 2017","Amigos","2018-01-18","Positivo","Vinos","Comida súper rica, encargado encantador, cocina a la vista agradable","","No","Está todo super rico, el encargado es encantador y es muy agradable ver cómo se prepara en cocina . Me gusta su vino"
57,"pablo l","Madrid, España",14,"Para no volver","ene 2018","Parejas","2018-01-15","Negativo","Croquetas, huevo trufado con setas, vino, cerveza","","Sin aperitivo, croquetas industriales y enanas (3x3€), huevo con setas de bote y aroma artificial (6.50€), ruido, falta de espacio, carísimo","Sí","Hola, he estado un sábado por la noche, éramos una pareja . Os comento mi experiencia. Una copa de vino 3,20 eur, una cerveza 2,50eur...ambas sin aperitivo. Pido croquetas para picar, de artesanas no tienen nada de nada, 3 croquetas mínimas 3 euros. Pido huevo trufado... setas de bote... Pagas 16 euros y te vas a cenar a casa..."
58,"Marcos","Las Rozas, España",855,"Todo un descubrimiento","jul 2018","Amigos","2018-07-28","Positivo","Kimuchi, raviolis, tuétano, bombones de foie","Buen género, buena elaboración y presentación en plato","Carta de vinos un poco escasa","Sí","Nos llevaron unos amigos y no nos defraudo. La carta cuando te sientas ya llama la atención, y cuando pides se refleja en los platos. Buen género, bien elaborado y presentado: Kimuchi, Raviolis, el tuetano increible, bombones de foie... Por ponerle algun pero, la carta de vinos un poco escasa."
59,"Beatriz I","Burgos, España",31,"Diferente","jul 2018","Parejas","2018-07-22","Positivo","Steak tartar, kimuchi","Presentación vistosa, toques e ingredientes originales, atención excelente y simpática de Sheyla con buen ritmo","","Sí","Estuvimos cenando de tapeo y probamos también algún platillo. En general todas las elaboraciones tenían una presentación vistosa y presentaban algún ingrediente distinto... Quizás resaltar steak tartar y kimuchi. El servicio fue estupendo, nos atendió Sheyla..."
60,"Belén L","Madrid, España",55,"Diferente y muy recomendable","jul 2018","Amigos","2018-07-21","Positivo","","Carta variada y diferente, servicio excelente, buen producto y elaboración, buena gestión de espera","No reservan mesa","Sí","Carta diferente y muy variada. Servicio excelente. No reservan mesa, pero si está lleno, que lo suele estar, te indican con bastante precisión, cuándo vas a tener mesa. Muy buen producto y muy buena elaboración."
61,"Luis Miguel S","Madrid, Madrid, Spain",3,"Empezo con muchas expectativas y ahí se quedo.","feb 2018","","2018-07-16","Negativo","Cerveza","","Sin aperitivo con la cerveza, raciones que han ido menguando de tamaño, cerveza cara a 3€","Sí","No te ponen ni un aperitivo con la cerveza, algo incomprensible hoy en día en la hostelería madrileña, las raciones empezaron bien y con el tiempo cada vez más pequeñas y la cerveza a un precio excesivo de 3€, la media en la zona es de 2´50€ el doble."
62,"salinas19","",7,"Sitio top de pozuelo","jul 2018","En familia","2018-07-14","Positivo","Pizza sashimi, hachiparmentier de rabo de toro","Carta nueva y muy original, buena atención, servicio muy rápido","","Sí","Van varias veces que hemos ido y la verdad que no dejan de sorprendernos.. Una nueva carta y muy original como la pizza sashimi o el hachiparmentier de rabo de toro.. Buena atención y sale todo muy rápido, sin duda un sitio de referencia en pozuelo"
63,"Gema L","Madrid, España",44,"No ir","jul 2018","Amigos","2018-07-11","Negativo","Cervezas dobles, aquarius, tónica con limón","","Pésima atención de los camareros (sin modales), nada de aperitivo ni cortesía a 2,70€ la consumición","Sí","Fuimos para despedirnos por el inicio de las vacaciones... la atención pésima lcamareto y camarera sin modales para atender al público y esperando una mísera aceituna ni una triste patata nada de nada a 2,70€ la consumición... Fatal no volveremos"
64,"Enrique E","",50,"Un plus de imaginación en tapas","jun 2018","Amigos","2018-07-11","Positivo","Tapas variadas","Cocina innovadora y variada, posibilidad de armar menú degustación con tapas espectaculares","Local pequeño y apretado, no reservan mesas, carta de vinos normalita","No","Si os gusta la cocina innovadora y variada, este es vuestro restaurante; tenéis que pedir la carta de tapas y dado su tamaño y precio (de tapa) podréis montaros un menú degustación... En la lado menos positivo está el local que es un tanto pequeño... no reservan..."
65,"Daniel D","",1,"Buen aperitivo o buena cena informal","may 2018","Amigos","2018-05-17","Positivo","Tartar de salmón","Ambiente excelente e informal, mesas altas versátiles, buena relación calidad-precio","","No","El ambiente del restaurante es excelente. Los platos a base de tapas se ajustan al clima propuesto por la tónica de informalidad y versatilidad de las mesas altas. La relacion calidad precio en su carta, es por lo que yo volvería... Recomiendo la tapa del tartar de salmón."
