"ID","Usuario","Perfil_Detalle","Tiempo_Aproximado","Tipo_Comida","Rango_Precio","Sentimiento","Platos_Mencionados","Aspectos_Positivos","Aspectos_Negativos","Respuesta_Propietario","Texto_Resena"
284,"Gonzalo S.","Local Guide · 106 reseñas · 22 fotos","Hace 1 año","","","Positivo","","Comida muy buena y servicio atento","Mesas sin mantel y distribución alineada poco íntima","No","Muy buena la comida y el servicio. El local me gusta pero soy de los que prefiere las mesas con manteles y no alineadas."
285,"JOSE MARTI PELLON","Local Guide · 28 reseñas","Hace 3 años","","","Negativo","Cerveza Turia de barril, Cerveza Mahou, Tostas y tapas individuales","Comida correcta","Precios abusivos en cerveza (5.20€ Turia / 4.80€ Mahou), tapas individuales caras (7-8€) y raciones escasas","No","Me quedé sorprendido por pagar 5:20 por una cerveza Turia de barril y 4:80 por una Mahou. Ni que estuviéramos en un país nórdico. La comida bien, pero alta de precio para la zona y las cantidades no abundantes. Los picoteos son tostas y tapas individuales..."
286,"Rodrigo Muñoz","Local Guide · 87 reseñas · 261 fotos","Hace 4 años","","","Positivo","","Platos elaborados con sabores especiales, personal atento, terraza agradable","Precio ligeramente por encima de la media","Sí","Platos muy elaborados con sabores bastante especiales, nos ha gustado mucho, el personal atento y la terraza agradable. Quizás el precio está un poco por encima dela media. Recomendable."
287,"PeterCA","Local Guide · 23 reseñas · 23 fotos","Hace 6 años","","","Positivo","Platos de autor","Propuesta gastronómica de primer nivel y elaboración meticulosa","No apto para quienes busquen cantidad abundante o precios de derribo","Sí","La propuesta gastronómica de primer nivel, viendo los comentarios entro a valorar con cautela... Si quieres cantidad no es tu sitio, si buscas precio de derribo no es tu sitio. Si valoras el trabajo que hay detrás de un plato..."
288,"Evitta","Local Guide · 252 reseñas · 67 fotos","Hace 2 años","Comida","30-40 €","Positivo","Postres","Platos cuidados y de calidad en formato informal, buen trato, postres obligatorios","","No","Si buscas un sitio informal pero con platos bien eleborados y cuidados, puede ser tu sitio. El trato es bueno, con comida informal pero de calidad: no dejes de pedir los postres!!"
289,"Esther y Daniel","Local Guide · 43 reseñas · 3 fotos","Hace 7 años","","","Positivo","Vinos seleccionados, Cerveza","El mejor gastrobar gourmet del noroeste, carta equilibrada, atención brillante de Óscar","","No","El mejor bar gourmet sin duda de la zona noroeste, excelentes elaboraciones, carta equilibrada. Selección de caldos y cerveza muy buena. Oscar atendiendo a los clientes, experiencia para repetir una y otra vez."
290,"Arantxa","11 reseñas","Hace 3 años","","","Positivo","","Comida muy buena y atención sobresaliente de todo el personal","","No","Un sitio maravilloso para pasar un ratito genial. La comida muy buena y la atenció de sobresaliente. Todo el personal encantador. Sin duda para repetir y recomendar"
291,"Felipe Villar","1 reseña","Hace 4 años","","","Positivo","Platos de temporada fusión","Platos innovadores con producto de temporada, ambiente alegre y empleados amables","","Sí","Magnífico restaurante con productos de temporada con un cocinado con aires de fusión que dan como resultado platos ricos, innovadores y llenos de rock n roll. Ideal para disfrutar con los amigos y familia..."
292,"Alejandra Marín Fernández-Conde","9 reseñas","Hace 3 años","Comida","50-60 €","Positivo","","Género y materia prima inmejorable, atención magnífica y atenta","","No","Hemos comido muy bien, el género de todos los productos inmejorable. Además de una atención magnífica, todo el personal muy atento y amable. Repetiremos pronto!"
293,"Lucas Acosta Suárez","1 reseña","Hace 1 año","","","Positivo","","Buena comida y ambiente tranquilo para cenas informales con amigos","","No","Buena comida y ambiente tranquilo. Ideal para una cena informal o para ir con amigos"
294,"Elisa García Izaguirre","3 reseñas","Hace 1 año","","","Positivo","","Comida riquísima y trato muy amable","","No","Estupendo. Hemos comido genial, todo riquísimo y todos muy amables"
295,"Ignacio Seijas","Local Guide · 38 reseñas · 13 fotos","Hace 5 años","","","Positivo","","Servicio súper simpático y correcto, comida rica y bien presentada, precio acorde","","No","Veamos... El servicio, genial, super simpáticos y correctos. La comida, bastante rica, bien cocinada y bien presentada. El precio, bueno, en línea con lo anterior. Me ha gustado el sitio, obviamente"
296,"Javier S","Local Guide · 1.274 reseñas · 4.689 fotos","Hace 8 años","","","Mixto","Tapas de autor","Tapas originales y con presentación cuidada","Sin aperitivo de cortesía con la bebida; a ciertas tapas les faltaba potencia de sabor","No","Tapas originales y muy bien presentadas. A mejorar: no ponen un aperitivo con la bebida, a las tapas les faltaba un poco de sabor."
297,"lucas beltrán","8 reseñas","Hace 1 año","Cena","30-40 €","Positivo","Platos creativos","Platos originales riquísimos, local agradable, camareros majísimos","","No","Todo riquísimo. Un sitio agradable donde probar platos diferentes. El servicio y los camareros majísimos. Volveremos!"
298,"Ainara Hualde","Local Guide · 34 reseñas","Hace 1 año","","","Positivo","","Materia prima de lujo, ambiente inmejorable y personal de 10","","Sí","Increíble experiencia. En un ambiente inmejorable y con una materia prima de lujo, la cocina, el ambiente y el personal de La Roca son de 10. Muchísimas ganas de repetir!"
299,"joni alyo","3 reseñas","Hace 1 año","Cena","","Positivo","Arroz meloso con solomillo, Chipirones","Ambiente familiar, trato estupendo, arroz meloso y chipirones espectaculares","","Sí","Ambiente familiar,gran trato con platos espectaculares en especial el arroz meloso con solomillo y los chipirones.Repetire sin duda"
300,"Javier Lacosta","2 reseñas","Hace 3 años","","","Positivo","","Producto espectacular, restaurante y terraza acogedores, atención perfecta en celebraciones","","No","Terraza y restaurante muy acogedores,producto espectacular y mejor trato aún , estuvimos perfectamente atendidos desde el principio y sin saber que era el cumpleaños de uno de mis acompañantes. Lo recomendaría 100x100 ."
301,"Alfonso Chinchilla Rico","Local Guide · 86 reseñas · 618 fotos","Hace 7 años","","","Positivo","Raciones y medias raciones de temporada","Excelente oferta gourmet del chef Alberto Molinero con formato flexible de raciones","","No","Muy buena carta y oferta de productos Gourmet del Chef mirandés Alberto Molinero. Su carta varía según Temporada, posibilidad de tomar raciones y medias raciones"
302,"jose miguel martinez","Local Guide · 68 reseñas · 156 fotos","Hace 3 años","Cena","60-70 €","Positivo","Copas de vino tinto","Atención excelente adaptada a los comensales, presentación impecable, grandes vinos tintos","","No","Excelente atención, recomendacion de platos ajustado a las necesidades de los comensales. La comida riquisima y presentación en mesa impecable. Las copas de vino tinto una pasada.Lo recomiendo absolutamente."
303,"Charlie Stop","Local Guide · 261 reseñas · 348 fotos","Hace 1 año","Cena","40-50 €","Positivo","Tortilla de patatas de Betanzos, Yema con migas y gambas","Tortilla de Betanzos espectacular, yema con migas deliciosa, atención continua e inmejorable","","Sí","Espectacular la tortilla de patatas de Betanzos! La Yema con migas y gambas MUY buena! La atención continúa inmejorable! Atope Roca"
304,"Alberto Cabello","Local Guide · 44 reseñas · 23 fotos","Hace 3 años","Comida","30-40 €","Negativo","","Antiguamente restaurante de cabecera","Decepción severa por bajada drástica de calidad culinaria en 3 de los 4 platos pedidos","No","Estaba en nuestra lista de restaurantes preferidos de Madrid… pero en la última visita la decepción fue muy importante. No se si es debido a algún cambio de propietario o del equipo en la cocina pero la comida dejo mucho que desear…"
305,"Irene Rubio palacios","6 reseñas","Hace 5 años","","","Mixto","Platos tradicionales modernizados","Comida sabrosa","Precios algo altos; actitud inadecuada de sala con bromas impertinentes hacia mesa femenina","Sí","La comida rica, aunque ligeramente cara la tratarse de platos tradicionales pero con una presencia modernizada. La atención no tan buena, éramos 6 mujeres cenando y los comentarios impertinentes y gracietas que no vienen al caso..."
306,"Vanesa Asta","Local Guide · 198 reseñas · 91 fotos","Hace 3 años","","","Positivo","Platos de autor","Comida elaborada y original, buen ambiente, trato muy simpático del dueño y encargado","","Sí","Se come más que bien. Todos los platos elaborados y originales. El dueño es muy simpático y el encargado también. El ambiente es muy bueno."
307,"Marta Camacho Gonzalez","6 reseñas","Hace 3 años","","","Positivo","Pinchos, Alcachofas","Pinchos deliciosos, alcachofas increíbles, atención y dedicación sobresaliente de Alejandro","","No","Comida espectacular. Los pinchos deliciosos. Las alcachofas increíbles! Y, lo mejor de todo, la atención del personal. Alejandro, Gracias por tu dedicación! Repetiremos seguro. Todo un lujo!"
308,"Selin","9 reseñas","Hace 1 año","","","Positivo","","Muy buen ambiente, gran atención y servicio personalizado de Ney","","No","¡Muy buen ambiente y una gran atención por parte del personal! Gracias Ney, muy recomendable :)"
309,"Jorge Alvarez","Local Guide · 89 reseñas · 116 fotos","Hace 1 año","Cena","30-40 €","Positivo","","Recepción agradable con mesa preparada, camareros atentos, comida rica a precio razonable","","Sí","La recepción por parte de los camareros fue muy agradable, tenían nuestra mesa preparada, fueron muy atentos y la comida estaba muy rica a un precio muy razonable"
310,"Estela Gonzalez","Local Guide · 40 reseñas · 8 fotos","Hace 4 años","","","Positivo","Arroz meloso con solomillo, Tartar de atún, Tarta de queso","Comida riquísima en arroces y postres, excelente servicio para familias","","No","Como siempre, genial, la comida buenísima y el servicio también. Recomendamos el arroz meloso con solomillo, el tartar de atún y la tarta de queso. Toda la familia encantada"
311,"Javier Iñesta","Local Guide · 131 reseñas · 1.519 fotos","Hace 5 años","","","Positivo","","Cocina auténtica con ingredientes de alta calidad para celebraciones","","No","Fuimos a celebrar un cumpleaños en un sitio donde pudieramos disfrutar de cocina de verdad cin ingredientes de alta calidad."
312,"Daniel Iñiguez Cabrera","2 reseñas","Hace 4 años","Comida","40-50 €","Positivo","","Comida de gran calidad, servicio muy profesional, atento y agradable","","No","Comida de gran calidad y servicio muy profesional, atento y agradable. Muy recomendable."
313,"Oscar Butgos Mateos","2 reseñas","Hace 6 años","","","Positivo","","Comida fantástica, trato y explicaciones apasionadas del propietario Óscar","","No","Fantástica comida, y el trato espectacular!! Sobre todo del propietario Oscar que es un profesional de la hostelería que te explica con entusiasmo cada plato, muy recomendable"
314,"Jaime I. Jimenez","Local Guide · 251 reseñas · 26 fotos","Hace 5 años","","","Positivo","Torrezno a baja temperatura","Doble carta (clásica y moderna), cocina gustosa y técnica excelente en torreznos","","Sí","Quizá el restaurante perfecto. Dos pequeñas cartas: Clásica ( con algún toque de modernidad) y otra definitivamente a la moda. Cocina tan moderna como gustosa. El torrezno es torrezno, pero la baja temperatura, el vacío..."
315,"Gonzalo","Local Guide · 168 reseñas · 433 fotos","Hace 4 años","Cena","","Mixto","Alcachofas a la brasa con parmentier de patata y rabo de toro, Patatas fritas de bolsa","Muy buen trato en pareja, alcachofas a la brasa deliciosas","Aperitivo triste a base de patatas de bolsa industriales","No","Cenamos en pareja y el trato fue muy bueno. Nos gustaron mucho las alcachofas a la brasa con partenier de patata y rabo de toro. El aperitivo con patatas fritas de bolsa un poco triste"
316,"David Garcia","12 reseñas","Hace 10 meses","Comida","20-30 €","Positivo","","Comida riquísima, local muy agradable, servicio excepcional","","No","Riquísimo, en un restaurante muy agradable y servicio excepcional"
317,"Loreto Fornés","Local Guide · 8 reseñas · 5 fotos","Hace 7 años","","","Positivo","Platos recomendados","Comida estupenda, buenas recomendaciones de sala, atención muy cuidada","Ruido y follón en el salón debido al tamaño reducido del local cuando se llena","Sí","Estupenda comida y buenas recomendaciones por parte del camarero. Muy buena atención. SI he de sacarle una pega era que al estar lleno y no ser muy grsbde había bastante follón."
318,"Almudena Rodriguez","Local Guide · 31 reseñas · 1 foto","Hace 4 años","","","Positivo","","Comida de diseño con productos de calidad, servicio rápido y personal encantador","","Sí","Comida de diseño con producto se calidad! Servicio rápido y personal encantador,."
319,"Javi Lazaga","7 reseñas · 1 foto","Hace 9 años","","","Positivo","Platos de mercado","Materia prima magnífica, texturas y sabores acertados, excelente relación calidad-precio","","No","La calidad de la materia prima es magnífica y los platos salen riquisimos con unas combinaciones en textura y sabor muy acertadas. La atención del personal muy buena y la relación calidad-precio insuperable."
320,"Oscar Navarro","Local Guide · 52 reseñas · 23 fotos","Hace 4 años","Cena","40-50 €","Positivo","","Comida muy rica, camareros serviciales y muy atentos","","No","Comida muy rica, camareros muy atentos y serviciales. Recomendable 100%"
321,"Alicia Carrillo Segura","Local Guide · 105 reseñas · 125 fotos","Hace 1 año","Comida","30-40 €","Positivo","","Comida buenísima","","No","Buenísimo"
322,"Pili Quintana","Local Guide · 21 reseñas · 1 foto","Hace 4 años","","","Positivo","Ravioli, Mollete, Cigala","Cocina variada y muy elaborada, trato de 10","","No","Fui con mi pareja y la verdad todo muy rico, una cocina muy variada y elaborada y con un trato de 10. Ravioli, mollete y la cigala platos a destacar. Sin duda sitio de referencia en Pozuelo"
323,"Ateoronaldo","896 reseñas","Hace 7 años","","","Negativo","Taco japomejicano","Tapas sabrosas","Raciones extremadamente escasas; el taco japomejicano no da ni para un bocado y su coste no se justifica","Sí","Tapas muy escasas para los precios que manejan y, aunque están muy ricas, la relación calidad/precio/cantidad no es buena. No pidas el taco japomejicano; está muy rico pero no da ni para un mordisco (y no exagero) y no justifica su precio."
324,"Carlos","Local Guide · 37 reseñas · 67 fotos","Hace 4 años","","","Positivo","","Bienvenida excelente de Otman y nivel superlativo de Ney en sala","","Sí","Como siempre, el mejor sitio de Pozuelo, en la entrada Otman se encarga de darte la bienvenida, y en la sala Ney es otro nivel. Esto lo digo porque en Pozuelo por desgracia, hay infinidad de sitios con infraestructuras mejores e..."
325,"Carmen Luaces","Local Guide · 124 reseñas · 48 fotos","Hace 2 años","Comida","60-70 €","Positivo","Tapas y platos a la carta","Local decorado con gusto, comida excelente en tapeo y carta, asesoramiento perfecto","","No","Lugar muy agradable decorado. Comida excelente, tanto para tapear como comer a la carta. Servicio muy profesional, cercano y con asesoramiento perfecto."
326,"Antonio Caballero Sol","1 reseña","Hace 1 año","Comida","30-40 €","Positivo","Propuestas del chef","Comida muy buena y original con propuestas de autor","","No","La comida buenísima y original. Os recomiendo que os dejéis sorprender con las propuestas del chef."
327,"Laura PF","6 reseñas","Hace 4 años","","","Positivo","","Comida fenomenal, servicio rápido, atento y velada muy amena","","No","Nos trataron muy bien y nos hicieron la cena muy amena. Se come fenomenal. Son rápidos y siempre están pendientes de ti y tu mesa."
328,"David Cuervo","1 reseña","Hace 4 años","","","Positivo","Arroz meloso con solomillo, Calamares, Bacalao","Atención excelente, arroces y pescados espectaculares","","No","Atención excelente por parte de los camareros, arroz meloso con solomillo, calamares y bacalao espectaculares. Altamente recomendable, volveremos sin duda."
329,"crsitina roldan","Local Guide · 62 reseñas · 22 fotos","Hace 8 años","","","Negativo","Pulpo a la brasa con patatas y alioli","","Pulpo duro y caro (16.50€ por media pata y 3 minirodajas de patata), mesas altas incómodas","No","El pulpo es un atraco... 16.50 euros por la mitad de una pata pequeña abierta en dos y algo dura, tres minirodajas de patatas enanas y dos cucharaditas de moka de alioli... mesas altas e incomodas.. sin ser malo es caro."
330,"Oscar Redondo Muñoz","Local Guide · 75 reseñas · 160 fotos","Hace 3 años","Comida","60-70 €","Positivo","Menú","Menú sabroso, atención cercana y agradable del personal","","No","Fuimos a comer con reserva. El restaurante es muy recomendable, la atención del personal es cercana y agradable. El menú está muy sabroso."
331,"Casto Prieto Lopez","Local Guide · 712 reseñas · 1.920 fotos","Hace 5 años","","","Positivo","Postres","Terraza bien ventilada, comida buena en general, servicio correcto","","No","Buen restaurante en la calle Europa de Pozuelo. Dispone de terrazas y está bien ventilado. La comida en general esta toda buena y la atención es más que correcta. Los postres en general están bien"
332,"Jose M. Serrano","7 reseñas","Hace 3 años","","","Positivo","","Gran calidad en cada plato, trato excelente para familias y amigos","","No","Calidad en cada plato y trato excelente por parte de todo el personal. De los mejores sitios en Pozuelo para cenar con amigos y familia."
333,"oscar de vidania","Local Guide · 85 reseñas · 7 fotos","Hace 4 años","Comida","30-40 €","Positivo","Platos explicados","Comida original de calidad, explicaciones amenas del personal sobre cómo degustar los platos","","No","Muy buena comida de calidad, diferente a lo normal. Excelente trato del personal. El que te expliquen como comerlo, es una sorpresa. Muy bien."
334,"Jorge Manrique","8 reseñas","Hace 4 años","","","Positivo","Tapas originales","Tapas variadas y ricas, atención fantástica de Óscar y equipo","","Sí","Magnifico restaurante en Pozuelo! Variedad de tapas originales y muy ricas, gran atención de Óscar y todo su equipo. Mi sitio de referencia en Avenida de Europa, no lo dudes, te encantará!"
335,"jantonfuertes","16 reseñas · 1 foto","Hace 4 años","","","Positivo","Chuletón a la brasa","Chuletón a la brasa escandalosamente bueno, trato familiar","","Sí","La Roca Comida espectacular, trato inmejorable, hacen sentirse a uno como en casa. El chuletón a la brasa es un escándalo!"
336,"Carlos Verdejo","4 reseñas","Hace 4 años","Cena","20-30 €","Positivo","Platos fuera de carta, Helado de violetas","Platos de sugerencias infalibles, helado de violetas único, gran profesionalidad en cocina y sala","","No","Soy de esos que escuchan los platos fuera de carta… aún no he probado nada de la carta porque siempre me convencen y siempre funcionan. Un 10 de atención y de cocina, grandes profesionales. Por cierto, el helado de violetas otro rollo."
337,"Pilar De Cascante","Local Guide · 223 reseñas · 11 fotos","Hace 6 años","","","Mixto","","Comida sabrosa","Servicio irregular y mesa con pésima iluminación (solo la luz de un escaparate que se apagó a las 23h)","No","Me gustó la comida, el servicio irregular, pero la ubicación de la mesa nefasta. No había más iluminación que la de un escaparate, que se apagó hacia las 23h o así. Lo excuso porque en estos primeros tiempos de apertura está todo aún poco organizado."
338,"Susana Nieva","Local Guide · 19 reseñas · 1 foto","Hace 5 años","","","Positivo","","Muy buena calidad culinaria y precios correctos","","Sí","Súper recomendable, lo encontré por casualidad y nos sorprendió muy gratamente. Muy buena calidad de los platos y los precios muy bien. Repito sin duda"
339,"Elena González","Local Guide · 26 reseñas","Hace 5 años","","","Positivo","","Comida buenísima a precio razonable, servicio amable","","No","La comida buenísima por precio razonable y el servicio amable. Muy buena experiencia."
340,"Carlos Carvajal Valilla","5 reseñas","Hace 3 años","Comida","30-40 €","Positivo","Platos creativos","Excelente estética y emplatado, calidad superior, camareros de trato impecable","","No","Es un restaurante que da gusto venir, la calidad, la excelencia, y el servicio de los camareros y la atención de ellos es excelente digno de repetir miles de veces un sitio ideal para disfrutar de una comida que sorprende con la estética."
341,"Juan Mago","5 reseñas","Hace 1 año","","","Positivo","Menú navideño","Comida exquisita (puntuada con un 20), servicio y amabilidad de 10 en cenas de grupo","","Sí","Vinimos a cenar para una cena de Navidad con amigos. Un 10 al servicio, la amabilidad y un 20 a la comida, todo estaba exquisito!!"
342,"Miguel Carralón","Local Guide · 31 reseñas · 2 fotos","Hace 2 años","Comida","30-40 €","Negativo","","","Local sin personalidad, servicio lento, comida plana y cuenta cara (48€/persona)","No","Local sin gracia, servicio lento y comida sin más y además caro. 48 euros cabeza"
343,"Juan Carlos","2 reseñas","Hace 3 años","Cena","20-30 €","Positivo","Bikinis de sardina ahumada, Empanada, Vieira, Escalopes de kobe","Todos los bocados y tapas calientes deliciosos","","No","Sitio estupendo. Fuimos a cenar y probamos bikinis de sardina ahumada, empanada, vieira y ezcalopes de kobe y todo buenisimo."
344,"PABLO SERRANO","Local Guide · 30 reseñas · 7 fotos","Hace 2 años","Comida","40-50 €","Mixto","Pulpo, Chopitos","Servicio muy bueno","Calidad y cantidad cuestionables en mariscos (solo 4 chopitos en la ración)","No","La calidad y cantidad de algunos platos es cuestionable (pulpo; chopitos, cuatro en la ración), el servicio es muy bueno."
345,"Celia Caballero González","1 reseña","Hace 1 año","Comida","30-40 €","Positivo","Platos combinados","Emplatados cuidados, mezclas de sabores sorprendentes, trato excelente","","No","Desde la comida, la atención al cliente, los emplatados y la combinación de sabores, venir a este restaurante se ha convertido en una experiencia que sin duda repetiremos."
346,"Alejandro Martin","Local Guide · 31 reseñas · 9 fotos","Hace 11 meses","Comida","20-30 €","Positivo","Gyozas","Comida deliciosa, trato excelente, gyozas muy recomendadas","","No","Todo buenísimo y el trato excelente! Recomiendo las gyozas"
347,"cristina peñalver","Local Guide · 37 reseñas · 2 fotos","Hace 3 años","Cena","20-30 €","Negativo","Hamburguesa, Calamares con base de arroz","","Hamburguesa excesivamente pasada y calamares sobre arroz de vasito precocinado","No","Una hamburguesa con la carne muy pasada y un plato de calamares con una base de arroz de bote de supermercado nos llevan a categorizar la cena como desastre. No estuvo al nivel de otras veces que había ido. Calidad y cocina muy mejorable."
348,"Miguel Ángel G.E.","Local Guide · 74 reseñas · 1 foto","Hace 4 años","","","Positivo","","Elaboración de 10, producto de calidad, servicio correcto y amable","","No","No es la primera vez que venimos, y siempre salimos contentos. Servicio muy correcto y amable, producto de calidad y elaboración de 10. Totalmente recomendable"
349,"Nicolas López-peña","3 reseñas","Hace 1 año","Cena","30-40 €","Positivo","","Regularidad y perfección culinaria tanto entre semana como en festivos","","Sí","Tremendo sitio.....Hemos comido varias veces entre semana y fines de semana y todo perfecto. Repetitemos"
350,"Ibra Correcaminos4x4","Local Guide · 138 reseñas · 181 fotos","Hace 6 años","","","Positivo","Tapeo y platos de carta","Cocina de gran nivel, instalaciones acogedoras, servicio muy profesional","","Sí","Esplendido restaurante en el centro de Pozuelo en el que recomiendo comer,cenar o simplemente tomar un aperitivo su cocina es de muy buena calidad el servicio es muy profesional y las instalaciones son muy acogedoras"
351,"Gonzalo del Real","Local Guide · 95 reseñas · 117 fotos","Hace 7 años","","","Positivo","Raciones","Raciones originales, bien elaboradas y de calidad; excelente atención de Óscar","Poca variedad de marcas de cerveza","No","Muy buena calidad en todo lo que tomamos, raciones originales y bien elaboradas. El servicio muy bueno (Oscar). Eché de menos algo de variedad en cerveza. Volveremos."
352,"Rosa López","Local Guide · 48 reseñas · 136 fotos","Hace 1 año","Comida","30-40 €","Mixto","Opciones sin gluten","Comida muy rica","Carta con pocas opciones para personas celíacas o intolerantes al gluten","No","Se come muy bien,aunque no tienen muchos platos aptos para intolerantes al gluten."
353,"Ana Tebar","Local Guide · 34 reseñas · 5 fotos","Hace 3 años","","","Negativo","Cerveza","Comida con buen sabor","Precios abusivos en cerveza (5.20€ y 4.80€) y raciones escasas para el importe cobrado","No","No estamos en un sitio turístico de Italia o Inglaterra para q se cobre la cerveza a 5.20 y 4.80.€. La cocina Rica pero escasa para el palo q meten siempre."
354,"Virginia Romero","2 reseñas","Hace 1 año","","","Positivo","","Cocina y servicio especiales, excelente organización del jefe de sala","","No","Todo especial, tanto el trabajo de cocina como el del servicio, destacable la organización del jefe de sala, una cena genial!"
355,"Francisco Altozano","3 reseñas · 18 fotos","Hace 9 años","","","Positivo","Tapas variadas, Cerveza La Salve","Cocina de mercado muy elaborada, cerveza La Salve bien tirada, trato excepcional","","No","Magnífico restaurante con cocina de mercado muy elaborada. Tapas de todo tipo, a cual mejor. Espléndida cerveza La Salve. Personal profesional con un trato excepcional. Muy recomendable."
356,"Manuel Romero","Local Guide · 81 reseñas · 2 fotos","Hace 11 meses","Comida","30-40 €","Positivo","Platos gourmet","Cocina gourmet variada, local acogedor, servicio profesional","","No","Servicio atento y profesional, comida variada gourmet y local agradable, una buena experiencia"
357,"Mª Dolores Muñoz Carreras","Local Guide · 215 reseñas · 42 fotos","Hace 7 años","","","Positivo","Platos gourmet","Carta impecable donde todo está exquisito","","Sí","Todo excelente, esperando el nuevo local para seguir degustando sus exquisiteces . No tengo ningún plato que no me guste. Recomendable"
358,"Julio Mangas","Local Guide · 467 reseñas · 724 fotos","Hace 4 años","","","Positivo","","Comida deliciosa en todas las elecciones, servicio de auténtico lujo","","Sí","Espectacular restaurante! Me ha encantado todo lo que he probado y el servicio es de lujo. Muy recomendable. Volveré!"
359,"Sergio López","Local Guide · 17 reseñas","Hace 1 año","Cena","60-70 €","Positivo","","Comida espectacular y trato personal increíble","","No","La comida , espectacular y el trato increible. 100% recomendable"
360,"pilar pla","5 reseñas","Hace 1 año","Comida","40-50 €","Positivo","","Comida riquísima y servicio excelente continuo","","Sí","Como siempre, servicio excelente y comida riquísima. Un sitio que no puedes perderte."
361,"David Signoret","Local Guide · 182 reseñas · 490 fotos","Hace 5 años","","","Positivo","Tortilla Betanzos, Copas","Terraza fantástica para copas, platos de calidad con presentación cuidada, tortilla de Betanzos brillante","","No","Genial para tomar una copa en la terraza, y los platos de la carta son de calidad y con una presentación muy cuidada. Me gustó especialmente la tortilla Betanzos."
