Fecha reserva,Hora reserva,Nº personas,Estado reserva,Servicio,Canal,Comensal ref
05/11/2025,21:45,5,completada,comida,telefono,Cliente 103
30/01/2026,23:45,2,confirmada,cena,web,Cliente 104
13/01/2026,15:00,6,confirmada,comida,telefono,Cliente 105
23/01/2026,23:45,2,no_show,comida,web,Cliente 106
09/09/2025,14:45,1,completada,comida,app,Cliente 107
09/12/2025,23:45,7,completada,cena,telefono,Cliente 108
07/11/2025,13:15,5,completada,comida,telefono,Cliente 109
06/01/2026,18:00,2,confirmada,cena,walkin,Cliente 110
06/09/2025,17:45,1,confirmada,cena,app,Cliente 111
14/06/2025,13:00,4,cancelada,comida,telefono,Cliente 112
11/06/2025,21:45,1,no_show,cena,telefono,Cliente 113
14/02/2026,13:30,5,confirmada,comida,app,Cliente 114
06/04/2025,19:30,8,confirmada,comida,app,Cliente 115
25/10/2025,14:30,2,cancelada,cena,telefono,Cliente 116
29/12/2025,22:00,6,confirmada,cena,app,Cliente 117
28/09/2025,19:30,8,confirmada,comida,telefono,Cliente 118
30/06/2025,17:00,3,cancelada,cena,walkin,Cliente 119
15/03/2026,22:00,4,cancelada,cena,app,Cliente 120
31/07/2025,16:00,2,completada,cena,web,Cliente 121
17/04/2025,19:15,4,completada,comida,app,Cliente 122
23/05/2026,21:15,4,cancelada,comida,app,Cliente 123
04/10/2025,21:00,8,no_show,comida,web,Cliente 124
29/01/2026,23:30,6,no_show,cena,app,Cliente 125
09/04/2026,13:15,6,cancelada,comida,web,Cliente 126
28/02/2026,23:15,4,cancelada,cena,telefono,Cliente 127
22/06/2025,14:15,7,completada,cena,app,Cliente 128
15/04/2026,16:45,8,cancelada,comida,walkin,Cliente 129
12/03/2025,20:45,7,cancelada,comida,telefono,Cliente 130
29/01/2025,22:15,4,confirmada,comida,walkin,Cliente 131
09/01/2026,20:00,3,confirmada,cena,app,Cliente 132
02/12/2025,13:30,2,no_show,cena,web,Cliente 133
14/02/2026,18:45,2,no_show,cena,web,Cliente 134
04/01/2026,20:15,8,completada,comida,telefono,Cliente 135
08/01/2025,23:00,3,no_show,cena,walkin,Cliente 136
16/05/2026,17:00,5,cancelada,cena,telefono,Cliente 137
18/03/2025,14:00,1,no_show,cena,walkin,Cliente 138
09/03/2026,18:00,1,cancelada,comida,app,Cliente 139
11/01/2025,14:45,7,completada,cena,walkin,Cliente 140
12/05/2026,23:15,1,no_show,comida,web,Cliente 141
23/02/2025,14:00,8,no_show,comida,walkin,Cliente 142
24/03/2025,19:00,2,confirmada,cena,walkin,Cliente 143
01/06/2025,20:00,1,completada,cena,walkin,Cliente 144
23/11/2025,17:30,1,confirmada,cena,walkin,Cliente 145
29/08/2025,18:00,5,completada,comida,walkin,Cliente 146
09/06/2025,14:15,7,completada,comida,web,Cliente 147
28/02/2026,13:30,6,completada,comida,telefono,Cliente 148
05/04/2026,16:15,7,confirmada,cena,app,Cliente 149
06/09/2025,14:00,5,confirmada,cena,app,Cliente 150
06/10/2025,22:15,4,confirmada,cena,walkin,Cliente 151
25/06/2026,18:30,2,cancelada,comida,app,Cliente 152
14/11/2025,13:45,6,no_show,comida,telefono,Cliente 153
07/12/2025,13:15,6,no_show,comida,telefono,Cliente 154
23/12/2025,13:30,8,cancelada,comida,walkin,Cliente 155
28/11/2025,13:30,4,no_show,cena,walkin,Cliente 156
06/09/2025,21:15,4,no_show,cena,walkin,Cliente 157
04/03/2025,21:30,8,completada,cena,telefono,Cliente 158
23/03/2025,13:00,5,completada,cena,telefono,Cliente 159
04/12/2025,14:30,2,confirmada,cena,walkin,Cliente 160
23/05/2026,14:45,6,no_show,cena,walkin,Cliente 161
05/04/2025,22:30,1,completada,cena,web,Cliente 162
21/02/2025,22:00,2,no_show,comida,walkin,Cliente 163
01/07/2025,23:45,7,confirmada,comida,web,Cliente 164
21/01/2026,16:15,2,cancelada,cena,app,Cliente 165
08/11/2025,16:00,4,completada,comida,telefono,Cliente 166
27/08/2025,22:30,8,confirmada,comida,telefono,Cliente 167
06/07/2025,13:45,1,completada,cena,telefono,Cliente 168
06/03/2026,21:45,2,completada,cena,walkin,Cliente 169
21/10/2025,19:15,3,no_show,cena,telefono,Cliente 170
28/04/2025,21:15,1,confirmada,comida,telefono,Cliente 171
17/01/2026,23:45,2,completada,cena,app,Cliente 172
27/01/2025,23:30,1,completada,cena,telefono,Cliente 173
22/06/2026,22:00,3,confirmada,cena,telefono,Cliente 174
13/06/2025,18:45,4,no_show,cena,web,Cliente 175
07/04/2025,14:30,4,no_show,comida,walkin,Cliente 176
12/05/2026,21:30,4,cancelada,cena,app,Cliente 177
23/03/2025,21:00,5,cancelada,cena,walkin,Cliente 178
30/06/2026,14:30,8,no_show,comida,app,Cliente 179
24/05/2025,23:00,4,cancelada,cena,telefono,Cliente 180
18/05/2026,17:00,6,cancelada,comida,web,Cliente 181
13/06/2025,15:00,5,completada,cena,app,Cliente 182
01/11/2025,23:00,6,confirmada,cena,app,Cliente 183
23/03/2026,16:00,8,no_show,cena,app,Cliente 184
12/06/2026,18:45,2,no_show,comida,app,Cliente 185
03/06/2026,23:30,1,confirmada,cena,web,Cliente 186
20/06/2026,13:15,8,completada,comida,walkin,Cliente 187
13/11/2025,19:00,7,cancelada,comida,web,Cliente 188
19/01/2026,13:30,7,confirmada,cena,web,Cliente 189
16/10/2025,16:45,6,cancelada,comida,app,Cliente 190
29/01/2025,15:45,2,completada,cena,web,Cliente 191
05/02/2025,15:45,7,completada,cena,walkin,Cliente 192
03/02/2026,21:45,7,no_show,cena,walkin,Cliente 193
16/07/2025,17:45,7,completada,cena,web,Cliente 194
19/04/2025,22:45,7,cancelada,comida,app,Cliente 195
19/03/2026,16:30,8,completada,cena,app,Cliente 196
25/06/2026,18:00,1,completada,comida,telefono,Cliente 197
08/06/2025,16:15,4,confirmada,comida,walkin,Cliente 198
18/03/2025,23:00,2,completada,comida,web,Cliente 199
12/04/2026,13:15,2,confirmada,cena,app,Cliente 200
27/09/2025,17:00,8,cancelada,comida,app,Cliente 201
23/03/2026,13:15,3,no_show,comida,web,Cliente 202
19/05/2025,16:30,7,completada,cena,telefono,Cliente 203
01/10/2025,15:45,6,completada,cena,web,Cliente 204
01/06/2025,22:00,6,cancelada,comida,telefono,Cliente 205
04/05/2026,20:30,7,confirmada,comida,walkin,Cliente 206
17/04/2025,17:30,8,no_show,comida,walkin,Cliente 207
25/06/2025,15:30,6,cancelada,cena,telefono,Cliente 208
13/04/2026,18:45,1,no_show,cena,walkin,Cliente 209
30/03/2026,14:15,7,cancelada,comida,telefono,Cliente 210
30/06/2026,16:45,3,no_show,comida,web,Cliente 211
13/02/2025,20:45,8,cancelada,comida,telefono,Cliente 212
08/01/2025,19:00,3,cancelada,comida,telefono,Cliente 213
29/10/2025,23:30,3,confirmada,cena,walkin,Cliente 214
26/04/2025,20:15,4,cancelada,cena,walkin,Cliente 215
04/02/2026,23:45,5,completada,cena,app,Cliente 216
06/05/2026,18:45,7,completada,cena,walkin,Cliente 217
27/11/2025,22:30,4,no_show,cena,web,Cliente 218
21/10/2025,20:45,2,confirmada,cena,web,Cliente 219
03/09/2025,16:00,1,confirmada,comida,app,Cliente 220
20/11/2025,20:45,3,no_show,cena,web,Cliente 221
18/06/2026,14:45,5,no_show,comida,app,Cliente 222
25/10/2025,15:15,2,cancelada,cena,telefono,Cliente 223
13/12/2025,13:00,8,confirmada,cena,telefono,Cliente 224
06/02/2026,14:15,1,cancelada,comida,web,Cliente 225
24/04/2026,16:15,6,no_show,comida,web,Cliente 226
02/01/2025,16:45,3,confirmada,cena,app,Cliente 227
10/01/2026,15:00,2,confirmada,comida,telefono,Cliente 228
03/03/2025,18:30,6,completada,comida,web,Cliente 229
07/02/2025,15:00,1,cancelada,comida,telefono,Cliente 230
31/01/2026,18:15,3,no_show,cena,walkin,Cliente 231
07/11/2025,14:15,6,cancelada,comida,app,Cliente 232
20/02/2025,14:30,3,completada,comida,telefono,Cliente 233
18/04/2025,17:00,8,confirmada,comida,telefono,Cliente 234
23/03/2026,14:15,6,cancelada,cena,telefono,Cliente 235
23/02/2026,14:15,3,no_show,cena,app,Cliente 236
10/04/2025,20:30,6,cancelada,cena,app,Cliente 237
18/12/2025,16:00,8,no_show,cena,app,Cliente 238
06/04/2026,17:00,1,no_show,cena,web,Cliente 239
02/08/2025,18:00,2,confirmada,comida,walkin,Cliente 240
17/05/2026,20:30,6,cancelada,cena,walkin,Cliente 241
17/05/2026,16:45,7,confirmada,cena,walkin,Cliente 242
15/03/2026,20:15,6,cancelada,cena,walkin,Cliente 243
27/08/2025,19:45,4,confirmada,comida,web,Cliente 244
23/06/2026,23:15,8,confirmada,cena,app,Cliente 245
26/02/2025,23:15,4,confirmada,cena,app,Cliente 246
06/09/2025,16:00,1,no_show,comida,telefono,Cliente 247
20/06/2025,13:15,6,cancelada,cena,app,Cliente 248
03/05/2026,19:00,3,no_show,comida,walkin,Cliente 249
05/12/2025,13:45,4,completada,cena,web,Cliente 250
11/06/2026,17:30,8,cancelada,comida,walkin,Cliente 251
08/06/2026,17:30,8,cancelada,cena,walkin,Cliente 252
01/02/2026,16:45,3,completada,comida,walkin,Cliente 253
25/01/2026,18:15,7,confirmada,comida,walkin,Cliente 254
10/02/2026,20:15,5,completada,comida,app,Cliente 255
06/04/2026,13:15,3,no_show,cena,walkin,Cliente 256
27/01/2025,18:45,8,confirmada,comida,telefono,Cliente 257
25/04/2026,22:15,4,completada,cena,walkin,Cliente 258
23/06/2025,19:15,7,completada,cena,app,Cliente 259
05/10/2025,15:00,2,completada,cena,app,Cliente 260
03/06/2025,13:15,8,confirmada,comida,walkin,Cliente 261
26/03/2025,19:00,5,no_show,comida,web,Cliente 262
04/06/2026,22:45,7,cancelada,comida,telefono,Cliente 263
12/04/2026,16:45,3,no_show,comida,telefono,Cliente 264
23/03/2025,19:00,3,cancelada,comida,walkin,Cliente 265
16/02/2025,13:45,1,no_show,cena,telefono,Cliente 266
18/05/2026,16:30,2,completada,cena,web,Cliente 267
22/10/2025,15:15,3,confirmada,cena,web,Cliente 268
08/06/2026,16:15,4,completada,comida,web,Cliente 269
19/02/2025,17:45,8,completada,cena,app,Cliente 270
26/02/2026,18:00,7,cancelada,cena,web,Cliente 271
03/07/2025,16:00,3,cancelada,cena,app,Cliente 272
20/11/2025,17:15,6,confirmada,cena,telefono,Cliente 273
22/07/2025,16:30,2,cancelada,cena,telefono,Cliente 274
27/05/2026,18:45,1,confirmada,cena,web,Cliente 275
13/06/2026,20:15,8,completada,comida,telefono,Cliente 276
09/02/2025,16:15,6,confirmada,cena,web,Cliente 277
04/02/2026,15:30,2,confirmada,cena,walkin,Cliente 278
04/07/2025,21:15,6,no_show,comida,telefono,Cliente 279
30/04/2026,16:15,3,confirmada,cena,telefono,Cliente 280
22/04/2025,13:45,6,completada,cena,walkin,Cliente 281
06/07/2025,21:45,7,confirmada,comida,telefono,Cliente 282
05/06/2026,20:00,1,confirmada,comida,web,Cliente 283
26/06/2025,15:00,2,completada,cena,web,Cliente 284
17/04/2026,15:00,4,confirmada,cena,walkin,Cliente 285
04/08/2025,13:45,6,no_show,comida,walkin,Cliente 286
19/06/2025,13:45,1,confirmada,cena,app,Cliente 287
14/04/2026,22:30,8,no_show,cena,app,Cliente 288
01/10/2025,22:15,5,completada,comida,telefono,Cliente 289
21/05/2026,14:00,5,cancelada,comida,app,Cliente 290
10/07/2025,17:45,3,confirmada,comida,telefono,Cliente 291
21/06/2025,16:45,7,confirmada,comida,app,Cliente 292
21/11/2025,21:30,7,cancelada,cena,walkin,Cliente 293
12/02/2025,16:15,8,confirmada,cena,telefono,Cliente 294
03/03/2025,18:15,8,completada,cena,walkin,Cliente 295
05/08/2025,21:00,2,no_show,comida,web,Cliente 296
15/09/2025,20:45,5,confirmada,cena,telefono,Cliente 297
10/03/2026,15:30,1,no_show,comida,telefono,Cliente 298
13/04/2026,15:00,3,no_show,cena,walkin,Cliente 299
27/05/2025,20:30,6,no_show,cena,telefono,Cliente 300
03/05/2025,17:45,2,confirmada,cena,app,Cliente 301
23/04/2026,22:45,8,cancelada,comida,walkin,Cliente 302
12/11/2025,18:15,2,cancelada,comida,web,Cliente 303
13/03/2025,23:00,4,no_show,cena,walkin,Cliente 304
18/10/2025,17:15,3,no_show,cena,web,Cliente 305
29/03/2025,22:45,8,cancelada,cena,app,Cliente 306
27/02/2025,18:45,4,no_show,cena,web,Cliente 307
30/04/2025,21:30,7,no_show,comida,walkin,Cliente 308
07/07/2025,16:00,2,cancelada,comida,app,Cliente 309
01/11/2025,18:15,7,cancelada,cena,walkin,Cliente 310
29/06/2025,16:45,3,confirmada,cena,walkin,Cliente 311
05/02/2025,17:00,4,confirmada,cena,web,Cliente 312
04/07/2025,22:00,3,cancelada,cena,app,Cliente 313
18/03/2025,23:45,4,confirmada,comida,web,Cliente 314
09/01/2026,22:30,8,cancelada,cena,walkin,Cliente 315
24/04/2025,19:00,7,completada,comida,telefono,Cliente 316
09/02/2025,18:00,5,no_show,cena,walkin,Cliente 317
26/01/2026,13:15,6,cancelada,comida,walkin,Cliente 318
28/02/2026,19:30,5,no_show,comida,app,Cliente 319
06/05/2025,17:00,7,completada,comida,app,Cliente 320
24/08/2025,13:45,6,completada,comida,walkin,Cliente 321
22/09/2025,14:45,5,completada,comida,web,Cliente 322
25/03/2025,20:30,2,no_show,cena,telefono,Cliente 323
30/01/2026,13:00,8,no_show,comida,walkin,Cliente 324
31/07/2025,14:15,4,cancelada,cena,telefono,Cliente 325
04/02/2026,22:30,8,cancelada,cena,app,Cliente 326
08/05/2026,13:30,7,cancelada,comida,walkin,Cliente 327
11/01/2025,17:15,5,completada,cena,telefono,Cliente 328
26/06/2025,20:00,8,confirmada,cena,telefono,Cliente 329
24/11/2025,22:15,5,cancelada,comida,walkin,Cliente 330
06/02/2025,20:00,8,completada,cena,walkin,Cliente 331
14/06/2025,20:00,4,cancelada,comida,telefono,Cliente 332
20/01/2026,17:15,5,confirmada,cena,app,Cliente 333
17/08/2025,16:30,2,cancelada,comida,app,Cliente 334
25/03/2026,13:30,7,no_show,comida,telefono,Cliente 335
02/10/2025,13:45,6,completada,cena,web,Cliente 336
12/06/2025,22:15,3,confirmada,cena,walkin,Cliente 337
20/03/2025,16:00,3,completada,comida,web,Cliente 338
14/04/2026,19:00,3,cancelada,cena,walkin,Cliente 339
23/03/2025,23:00,1,confirmada,comida,app,Cliente 340
21/09/2025,22:30,2,cancelada,cena,web,Cliente 341
08/05/2025,20:00,3,no_show,comida,app,Cliente 342
29/03/2025,15:45,5,cancelada,comida,app,Cliente 343
03/04/2026,15:30,3,cancelada,comida,web,Cliente 344
30/05/2026,17:00,1,cancelada,comida,web,Cliente 345
25/04/2026,19:45,5,confirmada,comida,walkin,Cliente 346
07/01/2025,14:15,6,confirmada,cena,walkin,Cliente 347
18/04/2026,14:15,7,completada,comida,app,Cliente 348
26/02/2026,23:45,3,no_show,cena,walkin,Cliente 349
02/04/2026,22:45,3,no_show,cena,app,Cliente 350
03/07/2025,16:00,2,completada,cena,telefono,Cliente 351
09/12/2025,13:45,1,cancelada,cena,web,Cliente 352
25/03/2026,20:45,4,completada,cena,app,Cliente 353
23/05/2025,13:45,5,cancelada,comida,app,Cliente 354
06/10/2025,19:45,2,completada,comida,walkin,Cliente 355
26/03/2026,21:00,3,completada,comida,walkin,Cliente 356
23/05/2026,15:30,5,cancelada,cena,walkin,Cliente 357
21/12/2025,23:00,4,completada,cena,telefono,Cliente 358
30/01/2025,13:30,1,completada,comida,telefono,Cliente 359
01/11/2025,13:00,3,completada,cena,telefono,Cliente 360
19/04/2026,19:30,8,completada,comida,telefono,Cliente 361
23/06/2026,15:00,6,confirmada,comida,walkin,Cliente 362
13/08/2025,13:30,3,confirmada,cena,app,Cliente 363
22/06/2025,14:00,7,confirmada,cena,app,Cliente 364
25/03/2026,17:00,6,confirmada,comida,app,Cliente 365
10/08/2025,14:15,5,completada,comida,telefono,Cliente 366
09/10/2025,19:15,4,no_show,cena,app,Cliente 367
07/01/2026,17:45,2,no_show,cena,web,Cliente 368
23/10/2025,13:45,7,no_show,comida,app,Cliente 369
26/03/2025,15:30,2,no_show,comida,walkin,Cliente 370
25/11/2025,22:30,3,completada,cena,telefono,Cliente 371
26/02/2025,20:30,7,completada,cena,telefono,Cliente 372
24/05/2025,15:45,4,confirmada,cena,web,Cliente 373
06/03/2025,17:30,5,confirmada,cena,web,Cliente 374
15/10/2025,22:30,8,no_show,comida,app,Cliente 375
19/04/2026,19:15,7,completada,cena,walkin,Cliente 376
25/01/2025,22:15,1,cancelada,comida,web,Cliente 377
01/11/2025,13:45,3,no_show,cena,app,Cliente 378
04/05/2026,20:45,2,confirmada,cena,telefono,Cliente 379
29/07/2025,22:15,3,confirmada,cena,telefono,Cliente 380
15/01/2025,14:45,2,confirmada,comida,walkin,Cliente 381
03/01/2026,16:30,7,confirmada,cena,telefono,Cliente 382
07/04/2026,21:15,5,cancelada,cena,walkin,Cliente 383
23/03/2026,23:45,5,no_show,comida,app,Cliente 384
21/02/2025,20:45,7,cancelada,cena,telefono,Cliente 385
08/08/2025,17:30,6,cancelada,comida,web,Cliente 386
30/01/2025,14:45,6,completada,comida,web,Cliente 387
14/03/2025,16:45,5,cancelada,cena,app,Cliente 388
17/05/2026,15:30,7,completada,cena,web,Cliente 389
26/03/2026,21:15,3,cancelada,comida,web,Cliente 390
20/06/2026,23:00,3,no_show,comida,web,Cliente 391
30/03/2025,22:30,5,cancelada,comida,telefono,Cliente 392
08/11/2025,15:00,8,confirmada,comida,app,Cliente 393
12/05/2025,14:30,8,completada,comida,app,Cliente 394
17/08/2025,19:45,8,no_show,comida,app,Cliente 395
09/06/2025,17:15,7,no_show,cena,walkin,Cliente 396
10/05/2026,14:30,2,no_show,cena,web,Cliente 397
27/09/2025,20:30,7,cancelada,comida,walkin,Cliente 398
11/01/2026,23:15,6,cancelada,cena,telefono,Cliente 399
07/05/2026,19:45,8,no_show,comida,walkin,Cliente 400
10/10/2025,19:30,6,confirmada,comida,app,Cliente 401
17/07/2025,15:45,1,completada,comida,walkin,Cliente 402
22/03/2026,15:30,8,completada,comida,app,Cliente 403
22/09/2025,14:45,3,no_show,comida,app,Cliente 404
19/01/2026,20:00,2,completada,comida,walkin,Cliente 405
28/07/2025,23:45,4,cancelada,cena,app,Cliente 406
02/06/2026,16:00,2,cancelada,comida,web,Cliente 407
21/01/2026,23:30,8,no_show,cena,walkin,Cliente 408
28/06/2026,19:15,7,cancelada,comida,app,Cliente 409
03/11/2025,23:30,6,completada,cena,web,Cliente 410
23/11/2025,17:00,1,cancelada,comida,telefono,Cliente 411
03/01/2026,22:15,3,confirmada,comida,walkin,Cliente 412
05/01/2025,19:45,3,completada,comida,telefono,Cliente 413
30/09/2025,19:00,8,cancelada,cena,web,Cliente 414
27/12/2025,15:45,4,completada,cena,web,Cliente 415
22/05/2025,16:30,4,no_show,cena,telefono,Cliente 416
12/05/2025,16:45,6,completada,comida,web,Cliente 417
01/07/2025,23:45,8,no_show,comida,app,Cliente 418
07/04/2025,13:30,4,completada,cena,app,Cliente 419
01/02/2026,21:45,3,cancelada,cena,web,Cliente 420
28/06/2026,22:00,1,completada,cena,web,Cliente 421
29/06/2026,15:45,1,no_show,cena,telefono,Cliente 422
19/05/2026,20:45,7,completada,cena,web,Cliente 423
15/12/2025,17:00,1,no_show,cena,web,Cliente 424
19/01/2026,16:45,5,completada,comida,walkin,Cliente 425
25/11/2025,18:30,3,cancelada,comida,app,Cliente 426
23/02/2025,20:15,6,completada,comida,web,Cliente 427
06/09/2025,18:15,5,cancelada,cena,telefono,Cliente 428
24/04/2025,13:15,6,completada,comida,telefono,Cliente 429
25/01/2026,13:15,8,completada,cena,telefono,Cliente 430
27/11/2025,17:45,7,completada,cena,app,Cliente 431
02/11/2025,14:00,3,confirmada,comida,walkin,Cliente 432
09/01/2025,22:30,4,no_show,comida,walkin,Cliente 433
18/03/2026,17:00,4,completada,comida,telefono,Cliente 434
11/11/2025,17:30,5,completada,cena,app,Cliente 435
25/01/2026,18:00,1,confirmada,comida,walkin,Cliente 436
05/08/2025,21:00,8,confirmada,comida,web,Cliente 437
09/04/2026,15:30,7,cancelada,comida,telefono,Cliente 438
24/03/2025,17:30,6,completada,cena,walkin,Cliente 439
02/11/2025,22:30,7,confirmada,cena,walkin,Cliente 440
30/04/2026,20:30,8,no_show,comida,telefono,Cliente 441
28/02/2025,15:45,6,completada,comida,app,Cliente 442
19/10/2025,19:00,3,cancelada,cena,telefono,Cliente 443
26/01/2025,13:15,6,completada,comida,telefono,Cliente 444
13/12/2025,17:00,3,confirmada,cena,telefono,Cliente 445
08/04/2025,18:15,4,no_show,comida,app,Cliente 446
22/03/2025,17:00,2,completada,comida,walkin,Cliente 447
22/03/2025,13:45,1,no_show,cena,telefono,Cliente 448
30/03/2025,23:00,4,no_show,comida,web,Cliente 449
22/04/2026,20:15,7,no_show,comida,app,Cliente 450
23/06/2025,22:45,4,confirmada,comida,app,Cliente 451
28/06/2026,15:45,5,completada,cena,app,Cliente 452
01/01/2026,21:15,4,confirmada,cena,web,Cliente 453
04/04/2025,16:30,7,cancelada,cena,app,Cliente 454
26/10/2025,22:30,5,completada,cena,web,Cliente 455
06/05/2025,20:45,4,cancelada,comida,walkin,Cliente 456
04/06/2026,23:45,3,confirmada,comida,web,Cliente 457
