id_ticket,pdf,ruta,negocio,nif,tel,mesa,fecha,hora,base_imponible,iva_pct,iva_importe,total_factura,pago_efectivo,pago_tarjeta,n_lineas,total_lineas,diferencia
F30013,factura_30013.pdf,/data/pdfs/factura_30013.pdf,Taberna El Roble S.L.,B00998877,983 445 210,11,07/02/2026,21:55,146.36,10.0,14.64,161.0,,161.0,2,161.0,0.0
F30014,factura_30014.pdf,/data/pdfs/factura_30014.pdf,Taberna El Roble S.L.,B00998877,983 445 210,12,30/12/2025,22:20,130.76,10.0,13.08,143.84,143.84,,7,143.84,0.0
F30015,factura_30015.pdf,/data/pdfs/factura_30015.pdf,Taberna El Roble S.L.,B00998877,983 445 210,4,02/05/2026,15:32,55.96,10.0,5.6,61.56,,61.56,5,61.56,0.0
F30016,factura_30016.pdf,/data/pdfs/factura_30016.pdf,Taberna El Roble S.L.,B00998877,983 445 210,11,09/03/2026,19:10,91.01,10.0,9.1,100.11,,100.11,1,100.11,0.0
F30017,factura_30017.pdf,/data/pdfs/factura_30017.pdf,Taberna El Roble S.L.,B00998877,983 445 210,9,12/05/2026,23:03,54.1,10.0,5.41,59.510000000000005,59.510000000000005,,1,59.510000000000005,0.0
F30018,factura_30018.pdf,/data/pdfs/factura_30018.pdf,Taberna El Roble S.L.,B00998877,983 445 210,14,16/06/2026,20:32,108.83,10.0,10.88,119.71,,119.71,6,119.71,0.0
F30019,factura_30019.pdf,/data/pdfs/factura_30019.pdf,Taberna El Roble S.L.,B00998877,983 445 210,4,13/10/2025,17:27,61.09,10.0,6.11,67.2,67.2,,4,67.2,0.0
F30020,factura_30020.pdf,/data/pdfs/factura_30020.pdf,Taberna El Roble S.L.,B00998877,983 445 210,18,02/10/2025,22:21,124.51,10.0,12.45,136.96,,136.96,5,136.96,0.0
F30021,factura_30021.pdf,/data/pdfs/factura_30021.pdf,Taberna El Roble S.L.,B00998877,983 445 210,3,16/10/2025,13:42,38.81,10.0,3.88,42.690000000000005,,42.690000000000005,3,42.690000000000005,0.0
F30022,factura_30022.pdf,/data/pdfs/factura_30022.pdf,Taberna El Roble S.L.,B00998877,983 445 210,9,06/11/2025,20:41,78.32,10.0,7.83,86.14999999999999,86.14999999999999,,3,86.14999999999999,0.0
F30023,factura_30023.pdf,/data/pdfs/factura_30023.pdf,Taberna El Roble S.L.,B00998877,983 445 210,25,08/01/2026,17:46,68.07,10.0,6.81,74.88,,74.88,3,74.88,0.0
F30024,factura_30024.pdf,/data/pdfs/factura_30024.pdf,Taberna El Roble S.L.,B00998877,983 445 210,23,10/10/2025,19:51,106.33,10.0,10.63,116.96,116.96,,2,116.96,0.0
F30025,factura_30025.pdf,/data/pdfs/factura_30025.pdf,Taberna El Roble S.L.,B00998877,983 445 210,2,12/06/2026,14:26,70.52,10.0,7.05,77.57,77.57,,5,77.57,0.0
F30026,factura_30026.pdf,/data/pdfs/factura_30026.pdf,Taberna El Roble S.L.,B00998877,983 445 210,8,12/03/2026,20:52,87.35,10.0,8.74,96.08999999999999,96.08999999999999,,1,96.08999999999999,0.0
F30027,factura_30027.pdf,/data/pdfs/factura_30027.pdf,Taberna El Roble S.L.,B00998877,983 445 210,10,24/05/2026,14:39,94.2,10.0,9.42,103.62,,103.62,1,103.62,0.0
F30028,factura_30028.pdf,/data/pdfs/factura_30028.pdf,Taberna El Roble S.L.,B00998877,983 445 210,2,24/04/2026,13:25,57.94,10.0,5.79,63.73,,63.73,2,63.73,0.0
F30029,factura_30029.pdf,/data/pdfs/factura_30029.pdf,Taberna El Roble S.L.,B00998877,983 445 210,18,30/05/2026,13:44,87.85,10.0,8.78,96.63,,96.63,7,96.63,0.0
F30030,factura_30030.pdf,/data/pdfs/factura_30030.pdf,Taberna El Roble S.L.,B00998877,983 445 210,7,13/12/2025,23:09,75.04,10.0,7.5,82.54,,82.54,6,82.54,0.0
F30031,factura_30031.pdf,/data/pdfs/factura_30031.pdf,Taberna El Roble S.L.,B00998877,983 445 210,14,16/05/2026,23:08,67.08,10.0,6.71,73.78999999999999,73.78999999999999,,7,73.78999999999999,0.0
F30032,factura_30032.pdf,/data/pdfs/factura_30032.pdf,Taberna El Roble S.L.,B00998877,983 445 210,6,12/10/2025,21:36,102.85,10.0,10.28,113.13,113.13,,6,113.13,0.0
F30033,factura_30033.pdf,/data/pdfs/factura_30033.pdf,Taberna El Roble S.L.,B00998877,983 445 210,15,14/06/2026,23:03,76.89,10.0,7.69,84.58,,84.58,5,84.58,0.0
F30034,factura_30034.pdf,/data/pdfs/factura_30034.pdf,Taberna El Roble S.L.,B00998877,983 445 210,16,07/03/2026,13:15,103.11,10.0,10.31,113.42,113.42,,1,113.42,0.0
F30035,factura_30035.pdf,/data/pdfs/factura_30035.pdf,Taberna El Roble S.L.,B00998877,983 445 210,12,24/06/2026,20:29,31.55,10.0,3.16,34.71,,34.71,1,34.71,0.0
F30036,factura_30036.pdf,/data/pdfs/factura_30036.pdf,Taberna El Roble S.L.,B00998877,983 445 210,24,04/05/2026,13:58,75.08,10.0,7.51,82.59,,82.59,3,82.59,0.0
F30037,factura_30037.pdf,/data/pdfs/factura_30037.pdf,Taberna El Roble S.L.,B00998877,983 445 210,9,20/11/2025,15:41,98.53,10.0,9.85,108.38,,108.38,1,108.38,0.0
F30038,factura_30038.pdf,/data/pdfs/factura_30038.pdf,Taberna El Roble S.L.,B00998877,983 445 210,17,29/05/2026,23:13,104.44,10.0,10.44,114.88,,114.88,5,114.88,0.0
F30039,factura_30039.pdf,/data/pdfs/factura_30039.pdf,Taberna El Roble S.L.,B00998877,983 445 210,3,26/04/2026,14:18,114.82,10.0,11.48,126.3,126.3,,7,126.3,0.0
F30040,factura_30040.pdf,/data/pdfs/factura_30040.pdf,Taberna El Roble S.L.,B00998877,983 445 210,10,29/04/2026,15:29,131.8,10.0,13.18,144.98000000000002,144.98000000000002,,2,144.98000000000002,0.0
F30041,factura_30041.pdf,/data/pdfs/factura_30041.pdf,Taberna El Roble S.L.,B00998877,983 445 210,14,28/03/2026,18:42,38.39,10.0,3.84,42.230000000000004,42.230000000000004,,4,42.230000000000004,0.0
F30042,factura_30042.pdf,/data/pdfs/factura_30042.pdf,Taberna El Roble S.L.,B00998877,983 445 210,7,06/04/2026,15:18,50.0,10.0,5.0,55.0,55.0,,6,55.0,0.0
F30043,factura_30043.pdf,/data/pdfs/factura_30043.pdf,Taberna El Roble S.L.,B00998877,983 445 210,16,24/10/2025,21:53,44.47,10.0,4.45,48.92,48.92,,2,48.92,0.0
F30044,factura_30044.pdf,/data/pdfs/factura_30044.pdf,Taberna El Roble S.L.,B00998877,983 445 210,18,01/10/2025,14:40,84.33,10.0,8.43,92.75999999999999,92.75999999999999,,3,92.75999999999999,0.0
F30045,factura_30045.pdf,/data/pdfs/factura_30045.pdf,Taberna El Roble S.L.,B00998877,983 445 210,8,29/04/2026,19:39,87.43,10.0,8.74,96.17,96.17,,4,96.17,0.0
F30046,factura_30046.pdf,/data/pdfs/factura_30046.pdf,Taberna El Roble S.L.,B00998877,983 445 210,19,01/03/2026,13:12,109.7,10.0,10.97,120.67,120.67,,2,120.67,0.0
F30047,factura_30047.pdf,/data/pdfs/factura_30047.pdf,Taberna El Roble S.L.,B00998877,983 445 210,21,31/12/2025,19:23,81.14,10.0,8.11,89.25,,89.25,7,89.25,0.0
F30048,factura_30048.pdf,/data/pdfs/factura_30048.pdf,Taberna El Roble S.L.,B00998877,983 445 210,9,01/04/2026,18:43,118.6,10.0,11.86,130.45999999999998,,130.45999999999998,2,130.45999999999998,0.0
F30049,factura_30049.pdf,/data/pdfs/factura_30049.pdf,Taberna El Roble S.L.,B00998877,983 445 210,6,08/11/2025,17:44,117.71,10.0,11.77,129.48,,129.48,5,129.48,0.0
F30050,factura_30050.pdf,/data/pdfs/factura_30050.pdf,Taberna El Roble S.L.,B00998877,983 445 210,6,14/05/2026,15:16,129.94,10.0,12.99,142.93,142.93,,2,142.93,0.0
F30051,factura_30051.pdf,/data/pdfs/factura_30051.pdf,Taberna El Roble S.L.,B00998877,983 445 210,24,05/11/2025,23:56,79.91,10.0,7.99,87.89999999999999,,87.89999999999999,3,87.89999999999999,0.0
F30052,factura_30052.pdf,/data/pdfs/factura_30052.pdf,Taberna El Roble S.L.,B00998877,983 445 210,5,27/05/2026,14:44,125.07,10.0,12.51,137.57999999999998,137.57999999999998,,4,137.57999999999998,0.0
F30053,factura_30053.pdf,/data/pdfs/factura_30053.pdf,Taberna El Roble S.L.,B00998877,983 445 210,4,07/05/2026,14:01,119.65,10.0,11.97,131.62,,131.62,6,131.62,0.0
F30054,factura_30054.pdf,/data/pdfs/factura_30054.pdf,Taberna El Roble S.L.,B00998877,983 445 210,20,14/05/2026,16:00,88.5,10.0,8.85,97.35,97.35,,7,97.35,0.0
F30055,factura_30055.pdf,/data/pdfs/factura_30055.pdf,Taberna El Roble S.L.,B00998877,983 445 210,14,18/11/2025,20:24,114.33,10.0,11.43,125.75999999999999,125.75999999999999,,5,125.75999999999999,0.0
F30056,factura_30056.pdf,/data/pdfs/factura_30056.pdf,Taberna El Roble S.L.,B00998877,983 445 210,9,30/06/2026,18:45,84.94,10.0,8.49,93.42999999999999,93.42999999999999,,3,93.42999999999999,0.0
F30057,factura_30057.pdf,/data/pdfs/factura_30057.pdf,Taberna El Roble S.L.,B00998877,983 445 210,8,14/01/2026,15:00,25.76,10.0,2.58,28.340000000000003,,28.340000000000003,4,28.340000000000003,0.0
F30058,factura_30058.pdf,/data/pdfs/factura_30058.pdf,Taberna El Roble S.L.,B00998877,983 445 210,18,14/01/2026,19:38,109.7,10.0,10.97,120.67,,120.67,7,120.67,0.0
F30059,factura_30059.pdf,/data/pdfs/factura_30059.pdf,Taberna El Roble S.L.,B00998877,983 445 210,16,24/05/2026,19:11,98.86,10.0,9.89,108.75,,108.75,3,108.75,0.0
F30060,factura_30060.pdf,/data/pdfs/factura_30060.pdf,Taberna El Roble S.L.,B00998877,983 445 210,25,27/04/2026,23:57,56.04,10.0,5.6,61.64,61.64,,2,61.64,0.0
F30061,factura_30061.pdf,/data/pdfs/factura_30061.pdf,Taberna El Roble S.L.,B00998877,983 445 210,20,20/12/2025,19:19,90.21,10.0,9.02,99.22999999999999,99.22999999999999,,3,99.22999999999999,0.0
F30062,factura_30062.pdf,/data/pdfs/factura_30062.pdf,Taberna El Roble S.L.,B00998877,983 445 210,1,29/12/2025,21:13,33.1,10.0,3.31,36.410000000000004,36.410000000000004,,2,36.410000000000004,0.0
F30063,factura_30063.pdf,/data/pdfs/factura_30063.pdf,Taberna El Roble S.L.,B00998877,983 445 210,20,27/11/2025,16:21,59.25,10.0,5.93,65.18,,65.18,1,65.18,0.0
F30064,factura_30064.pdf,/data/pdfs/factura_30064.pdf,Taberna El Roble S.L.,B00998877,983 445 210,15,09/11/2025,19:59,34.22,10.0,3.42,37.64,37.64,,7,37.64,0.0
F30065,factura_30065.pdf,/data/pdfs/factura_30065.pdf,Taberna El Roble S.L.,B00998877,983 445 210,11,06/11/2025,20:29,43.55,10.0,4.35,47.9,47.9,,5,47.9,0.0
F30066,factura_30066.pdf,/data/pdfs/factura_30066.pdf,Taberna El Roble S.L.,B00998877,983 445 210,21,11/02/2026,16:16,75.66,10.0,7.57,83.22999999999999,,83.22999999999999,2,83.22999999999999,0.0
F30067,factura_30067.pdf,/data/pdfs/factura_30067.pdf,Taberna El Roble S.L.,B00998877,983 445 210,8,21/12/2025,16:31,132.09,10.0,13.21,145.3,,145.3,3,145.3,0.0
F30068,factura_30068.pdf,/data/pdfs/factura_30068.pdf,Taberna El Roble S.L.,B00998877,983 445 210,21,26/06/2026,20:07,80.75,10.0,8.08,88.83,,88.83,4,88.83,0.0
F30069,factura_30069.pdf,/data/pdfs/factura_30069.pdf,Taberna El Roble S.L.,B00998877,983 445 210,6,15/05/2026,14:38,110.22,10.0,11.02,121.24,121.24,,3,121.24,0.0
F30070,factura_30070.pdf,/data/pdfs/factura_30070.pdf,Taberna El Roble S.L.,B00998877,983 445 210,9,29/06/2026,23:01,27.44,10.0,2.74,30.18,,30.18,4,30.18,0.0
F30071,factura_30071.pdf,/data/pdfs/factura_30071.pdf,Taberna El Roble S.L.,B00998877,983 445 210,1,23/03/2026,14:08,70.75,10.0,7.08,77.83,,77.83,2,77.83,0.0
F30072,factura_30072.pdf,/data/pdfs/factura_30072.pdf,Taberna El Roble S.L.,B00998877,983 445 210,25,07/10/2025,17:41,22.61,10.0,2.26,24.869999999999997,24.869999999999997,,2,24.869999999999997,0.0
F30073,factura_30073.pdf,/data/pdfs/factura_30073.pdf,Taberna El Roble S.L.,B00998877,983 445 210,23,02/11/2025,17:39,40.55,10.0,4.06,44.61,44.61,,2,44.61,0.0
F30074,factura_30074.pdf,/data/pdfs/factura_30074.pdf,Taberna El Roble S.L.,B00998877,983 445 210,1,03/01/2026,15:55,72.29,10.0,7.23,79.52000000000001,79.52000000000001,,2,79.52000000000001,0.0
F30075,factura_30075.pdf,/data/pdfs/factura_30075.pdf,Taberna El Roble S.L.,B00998877,983 445 210,25,01/04/2026,18:19,100.16,10.0,10.02,110.17999999999999,110.17999999999999,,4,110.17999999999999,0.0
F30076,factura_30076.pdf,/data/pdfs/factura_30076.pdf,Taberna El Roble S.L.,B00998877,983 445 210,11,16/10/2025,19:53,115.02,10.0,11.5,126.52,,126.52,2,126.52,0.0
F30077,factura_30077.pdf,/data/pdfs/factura_30077.pdf,Taberna El Roble S.L.,B00998877,983 445 210,4,02/02/2026,22:19,101.08,10.0,10.11,111.19,111.19,,2,111.19,0.0
F30078,factura_30078.pdf,/data/pdfs/factura_30078.pdf,Taberna El Roble S.L.,B00998877,983 445 210,2,22/06/2026,23:53,142.72,10.0,14.27,156.99,,156.99,5,156.99,0.0
F30079,factura_30079.pdf,/data/pdfs/factura_30079.pdf,Taberna El Roble S.L.,B00998877,983 445 210,19,29/03/2026,22:45,68.41,10.0,6.84,75.25,,75.25,5,75.25,0.0
F30080,factura_30080.pdf,/data/pdfs/factura_30080.pdf,Taberna El Roble S.L.,B00998877,983 445 210,1,02/03/2026,20:44,83.63,10.0,8.36,91.99,91.99,,3,91.99,0.0
F30081,factura_30081.pdf,/data/pdfs/factura_30081.pdf,Taberna El Roble S.L.,B00998877,983 445 210,14,22/01/2026,21:06,67.13,10.0,6.71,73.83999999999999,73.83999999999999,,2,73.83999999999999,0.0
F30082,factura_30082.pdf,/data/pdfs/factura_30082.pdf,Taberna El Roble S.L.,B00998877,983 445 210,21,11/12/2025,20:57,80.04,10.0,8.0,88.04,,88.04,1,88.04,0.0
F30083,factura_30083.pdf,/data/pdfs/factura_30083.pdf,Taberna El Roble S.L.,B00998877,983 445 210,21,28/11/2025,23:56,88.49,10.0,8.85,97.33999999999999,,97.33999999999999,4,97.33999999999999,0.0
F30084,factura_30084.pdf,/data/pdfs/factura_30084.pdf,Taberna El Roble S.L.,B00998877,983 445 210,14,08/03/2026,20:45,55.91,10.0,5.59,61.5,,61.5,5,61.5,0.0
F30085,factura_30085.pdf,/data/pdfs/factura_30085.pdf,Taberna El Roble S.L.,B00998877,983 445 210,14,26/02/2026,23:31,42.35,10.0,4.24,46.59,,46.59,6,46.59,0.0
F30086,factura_30086.pdf,/data/pdfs/factura_30086.pdf,Taberna El Roble S.L.,B00998877,983 445 210,6,15/04/2026,15:58,64.82,10.0,6.48,71.3,,71.3,7,71.3,0.0
F30087,factura_30087.pdf,/data/pdfs/factura_30087.pdf,Taberna El Roble S.L.,B00998877,983 445 210,19,27/03/2026,22:10,144.99,10.0,14.5,159.49,159.49,,4,159.49,0.0
F30088,factura_30088.pdf,/data/pdfs/factura_30088.pdf,Taberna El Roble S.L.,B00998877,983 445 210,23,12/02/2026,23:29,97.26,10.0,9.73,106.99000000000001,,106.99000000000001,3,106.99000000000001,0.0
F30089,factura_30089.pdf,/data/pdfs/factura_30089.pdf,Taberna El Roble S.L.,B00998877,983 445 210,10,17/05/2026,14:34,55.39,10.0,5.54,60.93,,60.93,1,60.93,0.0
F30090,factura_30090.pdf,/data/pdfs/factura_30090.pdf,Taberna El Roble S.L.,B00998877,983 445 210,4,27/10/2025,20:58,67.67,10.0,6.77,74.44,,74.44,3,74.44,0.0
F30091,factura_30091.pdf,/data/pdfs/factura_30091.pdf,Taberna El Roble S.L.,B00998877,983 445 210,10,24/02/2026,20:49,129.75,10.0,12.98,142.73,142.73,,6,142.73,0.0
F30092,factura_30092.pdf,/data/pdfs/factura_30092.pdf,Taberna El Roble S.L.,B00998877,983 445 210,1,08/02/2026,22:41,40.68,10.0,4.07,44.75,,44.75,4,44.75,0.0
F30093,factura_30093.pdf,/data/pdfs/factura_30093.pdf,Taberna El Roble S.L.,B00998877,983 445 210,11,27/02/2026,17:47,127.16,10.0,12.72,139.88,,139.88,4,139.88,0.0
F30094,factura_30094.pdf,/data/pdfs/factura_30094.pdf,Taberna El Roble S.L.,B00998877,983 445 210,19,23/06/2026,20:31,68.22,10.0,6.82,75.03999999999999,,75.03999999999999,2,75.03999999999999,0.0
