fecha,temp_media,temp_max,temp_min,lluvia_mm,viento_kmh
2025-02-13,13.0,12.9,0.7,0.6,10.7
2025-02-14,4.9,19.8,5.2,0.0,26.0
2025-02-15,9.1,11.2,-1.0,0.3,5.4
2025-02-16,3.7,10.7,-1.3,2.5,24.4
2025-02-17,7.6,13.3,7.3,1.0,35.5
2025-02-18,5.1,12.5,1.6,1.5,29.1
2025-02-19,4.6,19.3,3.8,1.6,11.9
2025-02-20,7.0,13.9,5.2,2.8,21.1
2025-02-21,11.9,10.9,5.4,0.3,13.1
2025-02-22,7.2,13.8,6.8,0.2,8.1
2025-02-23,8.5,13.8,-0.4,3.8,29.5
2025-02-24,7.5,11.0,6.0,1.3,29.1
2025-02-25,6.2,11.0,6.0,3.8,38.2
2025-02-26,6.6,10.5,1.5,0.5,20.5
2025-02-27,3.0,16.9,4.7,0.2,33.3
2025-02-28,14.6,13.1,-0.1,2.2,25.4
2025-03-01,9.1,14.1,4.6,4.7,20.5
2025-03-02,12.3,14.9,4.4,3.7,9.9
2025-03-03,9.7,17.0,1.8,1.1,6.4
2025-03-04,4.5,15.4,4.4,2.6,31.1
2025-03-05,3.3,12.3,3.6,4.3,19.9
2025-03-06,4.1,12.3,-0.8,2.0,37.1
2025-03-07,6.1,11.9,-0.5,0.1,36.7
2025-03-08,7.3,16.4,6.7,1.6,39.6
2025-03-09,9.5,10.9,6.5,0.1,21.4
2025-03-10,7.5,19.5,3.9,1.9,30.6
2025-03-11,5.8,18.9,3.5,0.5,36.7
2025-03-12,13.2,18.9,2.1,0.2,10.5
2025-03-13,6.2,18.0,7.9,3.0,27.1
2025-03-14,7.9,10.2,3.8,1.0,39.6
2025-03-15,7.4,14.7,3.1,1.6,29.5
2025-03-16,7.5,11.3,3.1,0.5,39.4
2025-03-17,11.3,12.8,-1.7,0.1,26.7
2025-03-18,7.1,19.6,5.3,0.1,14.0
2025-03-19,13.8,19.7,-1.9,0.7,12.2
2025-03-20,6.1,18.6,0.6,0.3,30.6
2025-03-21,13.5,12.5,2.6,0.5,26.5
2025-03-22,13.7,11.3,0.2,0.2,13.3
2025-03-23,11.0,18.8,4.2,1.6,20.2
2025-03-24,10.0,18.0,-0.4,2.3,31.8
2025-03-25,7.2,13.4,2.7,0.5,14.6
2025-03-26,8.1,17.3,5.7,0.5,17.5
2025-03-27,12.2,13.7,5.3,0.0,34.1
2025-03-28,8.9,15.8,1.2,0.4,30.3
2025-03-29,12.8,14.7,3.5,4.1,5.5
2025-03-30,13.3,17.7,3.0,1.8,9.7
2025-03-31,11.8,19.3,2.2,3.6,7.8
2025-04-01,4.6,16.0,-0.0,0.3,24.5
2025-04-02,2.9,13.3,0.7,0.2,31.8
2025-04-03,4.2,17.6,-0.2,1.7,10.0
2025-04-04,2.2,14.7,1.0,1.9,40.0
2025-04-05,11.1,16.4,-1.7,2.1,7.4
2025-04-06,6.1,11.7,-1.5,0.6,18.3
2025-04-07,9.2,11.6,7.5,1.3,17.7
2025-04-08,4.5,10.4,1.2,1.4,37.2
2025-04-09,11.7,11.8,-1.1,1.4,25.8
2025-04-10,11.0,13.0,6.9,2.1,15.7
2025-04-11,8.3,20.0,3.6,0.5,32.3
2025-04-12,12.7,15.3,6.9,0.4,10.7
2025-04-13,14.7,16.0,-0.7,1.8,36.1
2025-04-14,12.9,19.9,3.3,0.4,25.3
2025-04-15,5.7,11.5,3.9,2.2,8.2
2025-04-16,14.0,15.1,1.3,1.8,38.3
2025-04-17,12.4,11.5,5.2,1.6,12.3
2025-04-18,13.5,13.2,-0.7,0.1,36.8
2025-04-19,2.9,13.1,-1.9,0.6,32.1
2025-04-20,10.0,14.6,-0.2,0.4,6.1
2025-04-21,10.9,16.6,2.6,0.1,25.8
2025-04-22,2.1,15.0,-0.5,0.3,13.4
2025-04-23,4.7,13.3,0.8,0.8,28.5
2025-04-24,9.0,16.5,6.9,0.0,28.7
2025-04-25,4.5,15.9,2.8,0.5,20.6
2025-04-26,8.4,15.1,4.9,1.5,38.6
2025-04-27,11.0,10.2,3.5,1.1,7.6
2025-04-28,2.9,17.4,6.1,2.3,33.9
2025-04-29,5.7,11.5,3.8,1.4,35.2
2025-04-30,11.4,15.9,6.6,2.0,34.7
2025-05-01,6.0,18.3,2.1,2.6,32.5
2025-05-02,5.6,15.3,7.8,0.5,19.7
2025-05-03,12.2,18.9,4.6,1.2,17.8
2025-05-04,10.9,14.3,3.7,1.7,33.5
2025-05-05,3.0,19.9,7.1,0.1,36.1
2025-05-06,6.3,19.3,-0.8,1.9,10.6
2025-05-07,11.3,11.4,0.3,0.8,34.6
2025-05-08,9.4,12.5,6.0,0.3,15.5
2025-05-09,4.5,19.9,5.2,1.4,39.4
2025-05-10,6.9,13.5,-0.5,3.9,27.2
2025-05-11,14.7,17.6,2.5,0.7,26.1
2025-05-12,5.5,15.7,0.5,0.2,15.9
2025-05-13,6.3,17.6,6.3,1.2,20.4
2025-05-14,10.1,19.9,3.9,1.0,14.8
2025-05-15,13.1,10.3,0.3,3.0,22.2
2025-05-16,6.1,18.1,7.6,1.4,39.3
2025-05-17,4.1,18.5,-0.2,2.0,7.4
2025-05-18,7.0,17.0,1.2,4.7,16.8
2025-05-19,7.4,10.8,7.7,3.0,38.0
2025-05-20,5.3,18.9,6.2,0.4,21.2
2025-05-21,4.4,17.9,-1.5,1.7,21.2
2025-05-22,10.7,14.9,2.3,0.4,23.5
2025-05-23,3.1,14.6,-2.0,8.8,9.1
2025-05-24,3.2,14.5,1.8,2.2,36.4
2025-05-25,5.5,18.6,6.3,1.5,39.2
2025-05-26,12.2,13.2,6.9,1.3,21.5
2025-05-27,8.2,15.9,5.4,0.5,10.2
2025-05-28,4.1,16.6,-0.7,1.5,30.0
2025-05-29,5.3,18.2,0.8,0.6,25.1
2025-05-30,11.4,15.1,-0.5,0.9,11.2
2025-05-31,11.0,14.2,-1.3,1.1,34.3
2025-06-01,3.9,19.1,1.2,0.6,32.0
2025-06-02,10.1,13.2,1.5,2.4,19.4
2025-06-03,14.3,15.2,5.3,7.6,31.6
2025-06-04,9.0,16.6,1.6,1.8,25.5
2025-06-05,2.0,17.0,2.0,0.3,29.6
2025-06-06,13.6,16.7,7.6,0.9,9.1
2025-06-07,8.6,19.6,-0.9,0.1,27.2
2025-06-08,14.6,19.8,2.0,0.7,11.9
2025-06-09,6.4,12.5,7.8,0.7,15.4
2025-06-10,6.1,18.0,3.1,1.4,7.6
2025-06-11,11.0,17.4,1.8,0.0,17.8
2025-06-12,5.0,16.3,4.8,0.4,15.1
2025-06-13,14.5,17.0,0.9,1.2,6.7
2025-06-14,3.5,17.0,4.9,2.2,9.2
2025-06-15,3.7,17.4,0.6,0.3,28.8
2025-06-16,4.7,17.1,6.8,1.4,7.5
2025-06-17,14.9,15.2,-1.0,0.5,30.8
2025-06-18,10.1,16.9,3.7,2.5,31.6
2025-06-19,8.7,15.3,3.2,3.2,10.6
2025-06-20,9.1,11.8,1.3,1.2,31.8
2025-06-21,6.2,18.2,3.5,0.2,34.9
2025-06-22,7.1,12.9,7.8,0.6,23.8
2025-06-23,3.3,17.5,0.4,0.2,36.1
2025-06-24,7.4,12.0,7.8,3.2,36.4
2025-06-25,7.2,14.2,-1.3,0.2,34.3
2025-06-26,13.7,14.2,2.1,2.7,35.3
2025-06-27,9.7,12.6,6.2,0.6,32.9
2025-06-28,9.7,20.0,7.1,0.5,12.6
2025-06-29,7.6,14.2,7.6,2.8,27.7
2025-06-30,3.9,14.9,6.5,3.0,20.6
2025-07-01,4.8,18.2,5.8,0.3,7.5
2025-07-02,5.2,19.7,-0.1,3.9,28.6
2025-07-03,3.0,15.8,2.8,1.9,23.4
2025-07-04,7.0,13.2,6.9,0.2,21.3
2025-07-05,2.0,18.8,3.3,0.8,15.8
2025-07-06,13.8,14.9,6.0,0.0,8.4
2025-07-07,11.1,10.6,4.7,1.5,33.6
2025-07-08,4.2,10.1,2.6,3.0,8.7
2025-07-09,13.6,11.1,7.4,0.5,31.0
2025-07-10,5.2,19.2,2.5,1.3,16.3
2025-07-11,10.2,11.8,-0.1,1.1,33.2
2025-07-12,14.4,12.3,5.6,1.2,29.7
2025-07-13,6.4,12.7,6.8,1.1,36.6
2025-07-14,2.9,16.8,7.2,0.9,7.3
2025-07-15,5.0,17.4,4.9,0.9,37.1
2025-07-16,3.1,18.7,3.3,0.6,38.0
2025-07-17,10.6,12.9,1.8,0.9,19.4
2025-07-18,13.8,10.6,4.4,0.1,32.7
2025-07-19,12.4,16.6,-1.7,0.7,7.0
2025-07-20,2.2,13.8,3.5,0.5,24.1
2025-07-21,5.6,17.5,6.5,0.1,25.3
2025-07-22,8.6,19.1,-0.5,0.6,36.2
2025-07-23,3.3,15.9,-0.7,3.2,25.1
2025-07-24,4.2,10.5,0.7,5.7,21.4
2025-07-25,13.7,16.9,5.7,0.9,20.1
2025-07-26,4.5,12.3,7.3,1.9,10.7
2025-07-27,10.0,13.9,7.4,0.3,23.9
2025-07-28,4.3,13.4,1.0,0.2,23.5
2025-07-29,7.2,15.5,0.6,3.1,12.2
2025-07-30,11.0,11.3,5.8,1.6,25.6
2025-07-31,5.3,16.7,6.2,5.2,35.9
2025-08-01,12.7,11.3,7.0,1.2,30.9
2025-08-02,6.3,14.3,5.8,0.2,16.7
2025-08-03,12.5,14.1,6.0,0.7,37.6
2025-08-04,2.7,14.4,0.2,0.8,31.5
2025-08-05,2.7,17.2,-1.0,0.8,39.1
2025-08-06,6.3,10.1,1.1,0.0,22.7
2025-08-07,2.5,14.2,7.9,3.5,33.5
2025-08-08,10.7,10.7,6.2,3.7,38.1
2025-08-09,6.7,17.9,5.4,1.4,8.7
2025-08-10,9.0,12.7,7.5,1.5,12.5
2025-08-11,2.8,14.0,6.4,0.2,17.0
2025-08-12,13.2,13.6,-1.9,2.3,32.7
2025-08-13,5.2,10.6,3.7,1.3,13.3
2025-08-14,10.3,10.2,7.3,0.3,10.9
2025-08-15,10.4,11.8,2.2,3.2,10.5
2025-08-16,9.1,19.7,5.4,2.8,18.2
2025-08-17,2.7,12.0,-0.1,3.3,28.3
2025-08-18,6.6,17.5,5.5,0.2,17.8
2025-08-19,13.5,17.7,7.3,0.9,36.2
2025-08-20,7.4,18.6,0.8,0.3,22.8
2025-08-21,8.2,18.0,4.0,2.0,19.5
2025-08-22,13.7,11.8,6.9,6.8,20.1
2025-08-23,14.5,15.3,6.1,0.7,24.9
2025-08-24,3.4,12.2,4.1,1.1,9.4
2025-08-25,6.2,17.2,-1.1,1.3,11.8
2025-08-26,5.3,11.5,2.5,8.1,29.2
2025-08-27,8.9,18.4,6.2,2.1,13.4
2025-08-28,11.9,20.0,6.3,2.1,31.3
2025-08-29,4.0,17.5,4.9,0.2,35.8
2025-08-30,6.6,18.6,4.3,3.2,21.1
2025-08-31,14.8,18.9,4.0,1.0,35.6
2025-09-01,8.4,11.2,-1.5,2.8,30.3
2025-09-02,11.1,12.8,3.8,0.8,9.2
2025-09-03,10.6,12.0,6.2,2.2,23.4
2025-09-04,13.4,19.0,6.6,3.9,8.8
2025-09-05,9.6,17.7,3.6,2.3,19.2
2025-09-06,9.7,12.6,0.6,5.7,25.3
2025-09-07,9.9,17.7,4.7,0.1,24.2
2025-09-08,13.9,16.2,7.3,0.8,35.9
2025-09-09,3.9,14.5,5.4,4.6,5.3
2025-09-10,7.7,17.1,1.0,1.5,10.0
2025-09-11,13.8,15.5,7.1,4.4,37.0
2025-09-12,11.1,18.5,7.4,1.4,9.1
2025-09-13,11.1,13.3,1.5,0.2,22.5
2025-09-14,2.6,13.8,4.2,0.5,12.3
2025-09-15,5.2,13.0,-0.2,0.2,13.7
2025-09-16,12.2,12.9,-0.0,0.6,18.9
2025-09-17,5.8,14.2,-2.0,5.9,35.5
2025-09-18,6.5,13.4,6.5,1.0,24.0
2025-09-19,7.7,11.4,3.1,2.9,24.0
2025-09-20,2.8,11.0,1.7,3.1,5.6
2025-09-21,8.7,12.5,3.3,0.3,25.6
2025-09-22,7.6,19.7,4.9,1.7,28.3
2025-09-23,11.6,19.7,5.8,0.1,14.3
2025-09-24,10.1,15.6,3.1,0.5,35.6
2025-09-25,7.0,16.8,5.5,0.5,28.7
2025-09-26,5.3,14.3,6.1,5.0,9.0
2025-09-27,10.5,15.8,7.8,0.3,39.3
2025-09-28,7.2,16.3,2.2,0.7,9.9
2025-09-29,10.9,14.2,6.6,0.0,18.8
2025-09-30,4.6,16.5,1.9,0.8,12.2
2025-10-01,7.2,10.7,5.1,0.5,34.9
2025-10-02,13.8,19.6,7.0,0.0,21.7
2025-10-03,14.9,16.8,7.9,0.7,29.8
2025-10-04,10.1,11.1,3.1,0.3,9.3
2025-10-05,8.1,14.8,4.2,0.6,26.2
2025-10-06,8.1,19.5,-0.1,1.7,12.8
2025-10-07,14.7,18.8,5.6,0.9,35.0
2025-10-08,7.3,10.6,6.9,0.3,33.7
2025-10-09,8.3,18.1,3.3,0.2,16.3
2025-10-10,3.4,11.2,2.4,0.4,25.5
2025-10-11,11.6,12.1,0.7,0.8,28.4
2025-10-12,2.0,19.4,-1.9,0.3,20.8
2025-10-13,14.5,16.1,8.0,0.4,6.2
2025-10-14,10.4,16.2,4.2,0.9,11.8
2025-10-15,13.6,12.1,3.3,0.7,38.7
2025-10-16,2.0,17.4,1.5,0.6,31.6
2025-10-17,5.5,18.7,1.3,0.5,7.0
2025-10-18,2.8,18.1,-0.1,0.1,11.4
2025-10-19,4.0,11.6,2.2,1.6,12.7
2025-10-20,14.7,12.8,0.4,0.2,7.9
2025-10-21,8.7,12.4,0.3,0.3,20.0
2025-10-22,13.1,16.9,-0.8,2.1,36.0
2025-10-23,4.8,15.1,6.0,0.2,6.6
2025-10-24,8.2,18.5,7.6,1.3,33.5
2025-10-25,2.7,14.5,0.0,0.2,27.0
2025-10-26,8.6,16.9,4.2,1.8,32.9
2025-10-27,9.7,13.6,-0.5,2.9,13.5
2025-10-28,5.4,13.3,2.1,1.5,16.8
2025-10-29,11.4,19.9,5.3,7.1,5.9
2025-10-30,5.2,17.2,1.0,0.3,12.1
2025-10-31,8.6,19.4,8.0,0.2,36.4
2025-11-01,2.3,17.9,7.6,5.7,28.2
2025-11-02,9.2,10.6,3.4,1.3,24.2
2025-11-03,4.6,16.5,3.4,2.1,13.3
2025-11-04,9.1,19.3,-1.6,1.5,22.9
2025-11-05,13.1,10.5,2.6,0.6,8.1
2025-11-06,8.7,14.3,3.8,0.4,18.8
2025-11-07,4.4,16.8,3.0,0.1,30.5
2025-11-08,13.6,17.1,1.5,4.6,15.2
2025-11-09,13.3,17.4,3.1,2.4,14.8
2025-11-10,6.3,18.7,6.2,0.1,19.9
2025-11-11,12.0,15.5,7.9,0.4,5.4
2025-11-12,3.1,18.7,6.3,4.1,32.7
2025-11-13,2.3,13.4,-1.6,2.6,32.2
2025-11-14,11.4,19.4,8.0,0.5,13.5
2025-11-15,3.7,15.5,2.6,0.5,32.1
2025-11-16,12.7,18.0,2.3,0.4,31.1
2025-11-17,13.8,10.7,6.0,1.1,17.0
2025-11-18,2.3,10.9,1.4,0.6,31.2
2025-11-19,2.8,16.6,6.9,0.0,7.4
2025-11-20,2.7,16.6,1.3,0.9,26.8
2025-11-21,10.4,17.6,2.7,1.1,14.5
2025-11-22,2.4,19.1,6.5,3.8,20.2
2025-11-23,8.7,12.7,3.6,0.8,8.9
2025-11-24,5.1,18.9,4.2,1.6,19.3
2025-11-25,13.3,18.5,-1.6,2.6,24.7
2025-11-26,13.5,19.8,6.9,1.8,30.0
2025-11-27,14.1,19.1,5.0,0.4,27.2
2025-11-28,11.7,16.3,5.7,1.0,10.5
2025-11-29,13.3,15.5,3.6,0.8,34.3
2025-11-30,3.2,16.7,4.7,0.8,15.2
2025-12-01,7.1,18.9,7.6,0.3,5.5
2025-12-02,14.7,16.5,1.2,4.1,39.9
2025-12-03,11.5,17.2,5.1,0.3,6.4
2025-12-04,5.4,17.2,4.3,2.7,35.2
2025-12-05,3.7,10.3,3.8,0.9,28.4
2025-12-06,14.4,12.3,-0.5,0.2,17.2
2025-12-07,5.5,19.0,-0.9,0.6,32.2
2025-12-08,14.9,12.9,2.4,1.1,35.6
2025-12-09,13.7,11.8,4.1,0.3,14.7
2025-12-10,2.2,13.4,2.0,0.9,12.5
2025-12-11,6.2,18.6,3.7,0.7,29.6
2025-12-12,3.2,15.2,7.2,0.1,24.1
2025-12-13,5.6,12.4,3.1,2.9,10.7
2025-12-14,10.0,15.3,0.0,0.8,21.2
2025-12-15,12.5,12.2,0.7,0.2,7.0
2025-12-16,12.4,19.6,7.9,1.1,30.0
2025-12-17,7.7,12.4,3.8,1.5,23.4
2025-12-18,11.6,19.8,0.5,3.1,16.1
2025-12-19,7.9,18.2,4.8,1.8,30.2
2025-12-20,4.7,11.6,2.3,4.9,28.5
2025-12-21,9.1,18.5,0.6,0.6,32.1
2025-12-22,14.5,18.6,7.6,0.1,14.4
2025-12-23,4.5,15.0,-0.4,0.6,6.9
2025-12-24,14.1,11.7,-1.9,4.3,24.3
2025-12-25,5.5,19.8,0.1,4.0,33.5
2025-12-26,5.3,16.9,7.6,2.1,17.6
2025-12-27,3.6,10.9,2.8,0.4,16.3
2025-12-28,3.4,19.4,5.1,2.4,26.8
2025-12-29,9.5,18.5,0.4,0.9,17.2
2025-12-30,11.9,16.3,4.3,0.7,29.3
2025-12-31,2.6,16.9,5.1,0.2,34.4
2026-01-01,14.1,11.6,7.6,0.2,19.0
2026-01-02,10.8,16.9,-1.9,0.2,14.2
2026-01-03,9.2,12.0,7.7,2.0,19.9
2026-01-04,2.0,10.2,3.2,1.5,29.2
2026-01-05,9.5,19.1,6.5,1.1,16.1
2026-01-06,5.2,17.6,1.3,0.1,22.5
2026-01-07,4.8,14.8,0.3,0.1,12.5
2026-01-08,7.5,11.0,-1.6,1.9,9.1
2026-01-09,10.6,19.3,7.1,0.4,28.2
2026-01-10,7.8,16.1,4.9,1.2,35.0
2026-01-11,3.0,10.7,6.1,0.3,11.4
2026-01-12,3.3,18.6,0.1,2.3,22.5
2026-01-13,5.5,11.2,2.0,0.4,39.0
2026-01-14,13.5,19.4,-1.2,4.5,31.6
2026-01-15,5.8,14.7,0.9,0.5,28.2
2026-01-16,10.6,15.1,2.5,1.2,39.4
2026-01-17,8.7,13.6,7.2,1.7,35.0
2026-01-18,13.1,10.8,6.1,0.2,13.3
2026-01-19,11.5,16.4,5.4,4.4,10.2
2026-01-20,12.7,15.1,3.3,1.4,35.0
2026-01-21,13.6,10.7,4.6,0.2,27.4
2026-01-22,2.3,10.1,-0.2,0.9,8.8
2026-01-23,3.6,17.7,7.2,0.2,22.0
2026-01-24,5.3,12.2,4.5,1.1,24.0
2026-01-25,4.5,12.6,-1.2,1.3,28.7
2026-01-26,8.3,18.5,4.1,0.3,18.8
2026-01-27,7.0,11.6,4.1,0.9,8.1
2026-01-28,11.0,17.0,6.4,0.9,7.1
2026-01-29,6.0,15.7,3.5,1.0,34.6
2026-01-30,2.9,18.8,5.6,0.9,30.6
2026-01-31,2.2,17.7,4.7,6.1,22.7
2026-02-01,9.2,18.7,2.5,0.2,20.4
2026-02-02,3.5,18.0,1.9,0.5,28.1
2026-02-03,13.6,16.2,1.3,0.6,18.7
2026-02-04,6.9,14.8,4.2,2.7,10.5
2026-02-05,13.2,17.2,4.4,0.2,7.1
2026-02-06,12.5,13.3,7.9,0.2,26.6
2026-02-07,2.9,13.7,1.6,2.7,36.6
2026-02-08,4.9,16.9,0.9,6.8,38.3
2026-02-09,13.2,10.9,2.0,3.2,34.0
2026-02-10,5.1,14.5,1.1,0.0,39.4
2026-02-11,4.4,14.1,4.5,3.2,5.8
2026-02-12,5.4,17.7,1.7,1.4,14.3
2026-02-13,4.5,10.1,3.6,3.0,16.7
2026-02-14,7.3,16.3,2.7,0.4,23.8
2026-02-15,11.6,10.1,0.6,3.1,37.5
2026-02-16,14.7,18.9,2.6,0.3,29.7
2026-02-17,6.6,14.1,8.0,2.5,6.1
2026-02-18,13.3,15.1,7.5,8.3,15.0
2026-02-19,2.6,15.6,1.9,1.3,15.1
2026-02-20,6.3,12.5,7.8,1.1,34.6
2026-02-21,8.8,14.2,1.1,0.1,27.4
2026-02-22,3.1,13.7,5.9,2.8,19.6
2026-02-23,2.3,19.5,3.4,0.5,27.9
2026-02-24,14.4,12.2,-0.5,0.3,38.6
2026-02-25,3.2,12.0,5.3,3.1,30.4
2026-02-26,12.4,13.7,2.2,0.0,10.0
2026-02-27,5.7,14.4,1.8,3.3,17.6
2026-02-28,13.9,15.8,0.9,3.6,12.5
2026-03-01,11.6,14.5,2.9,0.7,14.7
2026-03-02,10.3,16.0,-0.6,2.6,32.8
2026-03-03,8.4,16.6,0.6,0.2,39.4
2026-03-04,13.7,12.6,8.0,2.6,17.1
2026-03-05,9.0,14.4,7.3,6.1,19.7
2026-03-06,12.7,12.8,3.9,0.3,7.0
2026-03-07,6.6,11.5,6.9,0.0,7.2
2026-03-08,4.8,17.0,-1.1,0.2,19.7
2026-03-09,6.7,14.0,2.1,0.2,24.6
2026-03-10,14.0,14.8,1.3,1.6,14.5
2026-03-11,12.4,12.8,3.8,2.1,37.5
2026-03-12,8.5,11.1,5.0,3.8,30.5
2026-03-13,3.1,10.0,1.9,4.3,37.9
2026-03-14,6.6,16.4,6.9,1.5,18.5
2026-03-15,7.1,16.6,7.0,1.1,19.2
2026-03-16,13.2,16.6,-0.3,1.8,24.7
2026-03-17,9.3,17.6,3.1,0.4,30.1
2026-03-18,12.6,13.5,0.5,3.6,6.6
2026-03-19,8.7,19.8,1.3,2.6,16.7
2026-03-20,13.4,15.2,6.7,2.5,29.1
2026-03-21,13.7,11.4,-1.9,0.1,7.4
2026-03-22,6.6,18.4,2.7,3.8,33.2
2026-03-23,3.8,12.4,6.5,0.2,12.3
2026-03-24,5.7,18.4,0.1,1.0,28.6
2026-03-25,2.4,15.1,8.0,2.8,11.1
2026-03-26,12.4,18.9,3.4,0.3,32.7
2026-03-27,4.3,13.1,6.9,3.5,21.8
2026-03-28,13.3,14.5,4.9,0.0,12.8
2026-03-29,9.9,11.7,-0.5,0.2,7.1
2026-03-30,10.5,13.0,2.7,2.6,14.2
2026-03-31,4.1,15.6,1.3,3.1,33.1
2026-04-01,9.8,12.3,3.4,0.1,24.9
2026-04-02,12.3,13.5,5.0,1.5,19.2
2026-04-03,8.6,10.4,0.6,0.7,39.8
2026-04-04,10.3,18.3,0.7,0.6,21.0
2026-04-05,14.3,13.1,2.0,0.7,35.2
2026-04-06,5.7,15.4,5.0,4.8,31.7
2026-04-07,14.0,10.6,4.7,2.1,12.5
2026-04-08,12.9,13.7,5.6,1.3,10.7
2026-04-09,14.6,17.0,-0.7,0.1,12.3
2026-04-10,14.1,18.4,-1.1,3.2,28.3
2026-04-11,4.3,12.6,7.9,0.7,31.7
2026-04-12,7.1,19.0,7.9,0.4,26.0
2026-04-13,3.4,19.0,7.2,1.9,14.6
2026-04-14,4.8,19.2,0.2,0.0,30.0
2026-04-15,8.4,19.7,-1.0,0.9,23.8
2026-04-16,4.5,16.0,7.9,0.0,24.0
2026-04-17,5.8,15.2,1.0,1.9,37.1
2026-04-18,7.0,10.3,-0.5,1.0,39.8
2026-04-19,11.1,19.0,7.8,0.0,16.4
2026-04-20,11.8,17.1,0.5,6.3,34.5
2026-04-21,11.6,15.2,5.7,0.2,13.3
2026-04-22,10.9,16.2,-0.4,0.3,29.1
2026-04-23,4.5,20.0,5.7,1.5,5.6
2026-04-24,10.9,13.6,1.3,4.2,26.9
2026-04-25,6.4,12.9,0.0,2.2,26.6
2026-04-26,5.9,16.5,3.6,1.9,12.6
2026-04-27,14.7,10.3,4.8,4.9,8.4
2026-04-28,8.7,14.0,6.3,2.2,27.4
2026-04-29,10.1,13.5,3.6,2.5,32.3
2026-04-30,12.8,19.4,-1.0,0.4,6.2
2026-05-01,2.3,19.2,4.5,0.5,5.4
2026-05-02,13.5,16.4,1.6,1.4,32.3
2026-05-03,5.6,15.6,1.2,5.5,23.7
2026-05-04,7.8,19.2,0.8,0.6,8.3
2026-05-05,2.5,11.4,1.3,3.3,11.1
2026-05-06,13.4,13.5,-1.8,2.0,26.9
2026-05-07,3.7,15.5,-0.3,1.4,26.0
2026-05-08,10.2,17.4,5.3,1.3,38.4
2026-05-09,14.6,10.9,7.6,0.6,9.9
2026-05-10,13.0,14.1,-0.8,0.8,18.7
2026-05-11,5.0,17.8,0.9,1.3,30.8
2026-05-12,4.6,17.0,7.6,1.7,12.4
2026-05-13,7.3,10.8,5.4,1.8,10.0
2026-05-14,6.5,14.0,5.8,0.1,23.1
2026-05-15,8.6,16.4,-0.9,0.9,19.8
2026-05-16,4.0,10.2,0.8,0.7,25.7
2026-05-17,13.4,14.6,2.8,3.9,37.3
2026-05-18,14.5,14.4,1.2,0.8,28.0
2026-05-19,13.3,15.5,1.8,0.8,34.8
2026-05-20,12.6,10.4,5.6,0.6,14.9
2026-05-21,9.4,13.8,5.4,0.3,32.0
2026-05-22,7.0,17.7,5.6,1.3,26.5
2026-05-23,4.2,16.8,-0.6,0.2,37.4
2026-05-24,6.8,16.0,3.9,0.0,22.0
2026-05-25,2.7,17.8,7.9,2.3,32.8
2026-05-26,7.4,16.5,-1.2,1.0,27.8
2026-05-27,14.2,13.9,6.8,0.4,8.0
